# R1,R2,R3
1.511781,2.834585,4.342612
1.511781,2.156200,3.212537
1.511781,2.272678,3.212542
1.511781,2.395309,3.212530
1.511781,2.522363,3.212542
1.511781,2.652274,3.212537
1.511781,2.783734,3.212529
1.511781,2.915614,3.212528
1.511781,3.046925,3.212536
1.511781,3.176765,3.212526
1.511781,3.212528,3.304411
1.511781,3.212532,3.429184
1.511781,3.212534,3.550473
1.511781,3.212532,3.667749
1.511781,3.212528,3.780543
1.511781,3.212526,3.888416
1.511781,3.212536,3.990988
1.511781,3.212528,4.087888
1.511781,3.212529,4.178812
1.511781,3.212537,4.263472
1.511781,3.212542,4.341601
1.511781,3.212530,4.412954
1.511781,3.212542,4.477360
1.511781,3.212537,4.534595
1.511781,3.212529,4.584514
1.511781,3.212528,4.626990
1.511781,3.212536,4.661909
1.511781,3.212526,4.689148
1.511781,3.212528,4.708665
1.511781,3.212532,4.720399
1.511781,2.684941,3.779443
1.511781,2.795691,3.779460
1.511781,2.913639,3.779443
1.511781,3.037165,3.779460
1.511781,3.164679,3.779443
1.511781,3.294849,3.779451
1.511781,3.426422,3.779463
1.511781,3.558286,3.779461
1.511781,3.689456,3.779450
1.511781,3.779462,3.819089
1.511781,3.779453,3.946364
1.511781,3.779452,4.070595
1.511781,3.779453,4.191146
1.511781,3.779462,4.307457
1.511781,3.779450,4.418978
1.511781,3.779461,4.525285
1.511781,3.779463,4.625935
1.511781,3.779451,4.720533
1.511781,3.779443,4.808757
1.511781,3.779460,4.890319
1.511781,3.779443,4.964881
1.511781,3.779460,5.032266
1.511781,3.779443,5.092193
1.511781,3.779451,5.144526
1.511781,3.779463,5.189084
1.511781,3.779461,5.225713
1.511781,3.779450,5.254307
1.511781,3.779462,5.274812
1.511781,3.779453,5.287123
1.511781,3.045087,4.157393
1.511781,3.152797,4.157397
1.511781,3.268167,4.157384
1.511781,3.389619,4.157397
1.511781,3.515600,4.157393
1.511781,3.644779,4.157404
1.511781,3.775858,4.157402
1.511781,3.907702,4.157388
1.511781,4.039318,4.157402
1.511781,4.157404,4.169734
1.511781,4.157400,4.298129
1.511781,4.157397,4.423735
1.511781,4.157400,4.545878
1.511781,4.157404,4.663936
1.511781,4.157402,4.777328
1.511781,4.157388,4.885548
1.511781,4.157402,4.988171
1.511781,4.157404,5.084738
1.511781,4.157393,5.174876
1.511781,4.157397,5.258265
1.511781,4.157384,5.334579
1.511781,4.157397,5.403586
1.511781,4.157393,5.465001
1.511781,4.157404,5.518658
1.511781,4.157402,5.564343
1.511781,4.157388,5.601911
1.511781,4.157402,5.631281
1.511781,4.157404,5.652317
1.511781,4.157400,5.664961
1.511781,3.959990,5.102264
1.511781,4.062120,5.102265
1.511781,4.172535,5.102265
1.511781,4.289788,5.102265
1.511781,4.412481,5.102264
1.511781,4.539281,5.102263
1.511781,4.668918,5.102259
1.511781,4.800229,5.102258
1.511781,4.932114,5.102260
1.511781,5.063562,5.102259
1.511781,5.102269,5.193657
1.511781,5.102261,5.321517
1.511781,5.102269,5.446391
1.511781,5.102259,5.567531
1.511781,5.102260,5.684306
1.511781,5.102258,5.796105
1.511781,5.102259,5.902395
1.511781,5.102263,6.002672
1.511781,5.102264,6.096488
1.511781,5.102265,6.183437
1.511781,5.102265,6.263157
1.511781,5.102265,6.335326
1.511781,5.102264,6.399659
1.511781,5.102263,6.455908
1.511781,5.102259,6.503855
1.511781,5.102258,6.543329
1.511781,5.102260,6.574183
1.511781,5.102259,6.596298
1.511781,5.102269,6.609610
1.511781,4.886299,6.047124
1.511781,4.984668,6.047120
1.511781,5.091611,6.047119
1.511781,5.205815,6.047120
1.511781,5.325977,6.047124
1.511781,5.450801,6.047121
1.511781,5.579068,6.047116
1.511781,5.709624,6.047127
1.511781,5.841311,6.047118
1.511781,5.973117,6.047113
1.511781,6.047118,6.104062
1.511781,6.047124,6.233232
1.511781,6.047118,6.359770
1.511781,6.047113,6.482900
1.511781,6.047118,6.601918
1.511781,6.047127,6.716148
1.511781,6.047116,6.824969
1.511781,6.047121,6.927849
1.511781,6.047124,7.024269
1.511781,6.047120,7.113773
1.511781,6.047119,7.195954
1.511781,6.047120,7.270445
1.511781,6.047124,7.336925
1.511781,6.047121,7.395095
1.511781,6.047116,7.444721
1.511781,6.047127,7.485616
1.511781,6.047118,7.517576
1.511781,6.047113,7.540498
1.511781,6.047118,7.554295
1.446337,1.889726,1.889735
1.597256,1.889723,1.889726
1.745150,1.889726,1.889727
1.889726,1.889734,1.889734
1.889726,1.889731,2.030700
1.889721,1.889726,2.167801
1.889726,1.889734,2.300790
1.889726,1.889731,2.429386
1.889718,1.889726,2.553349
1.889726,1.889726,2.672476
1.889718,1.889726,2.786504
1.889726,1.889731,2.895234
1.889726,1.889734,2.998447
1.889721,1.889726,3.095943
1.889726,1.889731,3.187563
1.889726,1.889734,3.273106
1.889726,1.889727,3.352419
1.889723,1.889726,3.425348
1.889726,1.889735,3.491767
1.889723,1.889726,3.551517
1.889726,1.889727,3.604526
1.889726,1.889734,3.650679
1.889726,1.889731,3.689869
1.889721,1.889726,3.722029
1.889726,1.889734,3.747127
1.889726,1.889731,3.765075
1.889718,1.889726,3.775847
1.368855,1.889726,2.078705
1.528656,1.889726,2.078706
1.685851,1.889726,2.078705
1.840073,1.889726,2.078699
1.889726,1.990954,2.078702
1.889726,2.078701,2.138184
1.889726,2.078694,2.281452
1.889726,2.078701,2.420475
1.889726,2.078700,2.554964
1.889726,2.078691,2.684642
1.889726,2.078699,2.809280
1.889726,2.078691,2.928606
1.889726,2.078700,3.042413
1.889726,2.078701,3.150465
1.889726,2.078694,3.252544
1.889726,2.078701,3.348477
1.889726,2.078702,3.438057
1.889726,2.078699,3.521113
1.889726,2.078705,3.597508
1.889726,2.078706,3.667066
1.889726,2.078705,3.729664
1.889726,2.078699,3.785183
1.889726,2.078702,3.833520
1.889726,2.078701,3.874576
1.889726,2.078694,3.908269
1.889726,2.078701,3.934554
