G1,G2,G3
1.562040e-01,4.105289e-03,1.271154e-05
4.247699e-03,1.712090e-06,9.939544e-12
6.446915e-04,6.261303e-08,1.761193e-14
1.141835e-02,2.169485e-06,7.059831e-12
4.798584e-04,2.601142e-08,4.310166e-15
2.343804e-03,6.038614e-07,3.688818e-13
6.535507e-04,5.641910e-08,3.609526e-15
1.161267e-02,1.919300e-06,7.420312e-12
2.597518e-02,2.139682e-06,5.956727e-12
4.207632e-03,4.515509e-06,3.226671e-10
7.689645e-02,2.706424e-05,1.929124e-09
4.060372e-02,1.285505e-04,2.266600e-08
4.879686e-03,5.436027e-06,3.449523e-11
1.442049e-02,7.435724e-07,8.984548e-13
7.935256e-03,3.252507e-06,1.095308e-11
9.278868e-02,5.337022e-04,3.836251e-07
1.529983e-02,1.508971e-05,1.305996e-09
9.301403e-03,1.468741e-05,1.127007e-09
1.651452e-01,1.972538e-03,5.073904e-06
9.781985e-03,3.775883e-06,1.090189e-10
1.934669e-02,2.879729e-05,2.857553e-09
3.917245e-02,2.019264e-06,3.849800e-12
8.058718e-04,5.158624e-08,2.932562e-15
3.704182e-03,3.547248e-06,3.665083e-10
2.858442e-01,1.590337e-02,2.262885e-04
1.637285e-01,2.565200e-03,8.352080e-06
1.588509e-01,1.925104e-04,2.841070e-08
1.243558e-02,8.903148e-07,1.840654e-12
7.905299e-02,6.011664e-06,9.803466e-11
1.163992e-02,3.283529e-05,9.457101e-09
2.278472e-01,3.251992e-03,7.962242e-06
2.550614e-03,1.626787e-06,2.788269e-12
1.966277e-02,1.083980e-05,1.611960e-10
1.777133e-01,3.647184e-03,1.748792e-05
2.075469e-04,1.075882e-08,7.572032e-16
3.868759e-02,7.309070e-05,9.033734e-09
5.522823e-03,1.232000e-06,7.191653e-12
7.060666e-03,4.209529e-06,2.475026e-10
6.976735e-03,5.232363e-07,4.688938e-13
2.960725e-02,1.174242e-04,5.709210e-08
6.211694e-02,9.473730e-06,2.256356e-10
4.538520e-02,6.828011e-06,6.320738e-11
1.379729e-01,1.552411e-03,4.204732e-06
7.262583e-03,5.104723e-06,1.063485e-10
1.860821e-02,6.295098e-05,4.861105e-09
2.224192e-03,4.445386e-07,1.624209e-12
1.558358e-02,4.564515e-05,1.469145e-08
2.557883e-02,1.011535e-05,3.465479e-10
3.470472e-02,2.205072e-05,4.622570e-10
4.973938e-03,1.382720e-06,9.854430e-12
1.362901e-01,3.544598e-03,1.691855e-05
3.178782e-03,9.460118e-07,1.810352e-12
1.617903e-02,6.579417e-05,4.201602e-09
1.097684e-02,1.703002e-06,1.311978e-11
2.058466e-04,9.180151e-09,1.546140e-16
1.026927e-02,4.058569e-06,1.677217e-11
3.755163e-04,2.644215e-08,6.475180e-15
1.399493e-02,4.049127e-06,1.605501e-11
2.028939e-01,6.687014e-05,3.495463e-09
1.622695e-03,5.101160e-07,2.675955e-13
2.567983e-02,1.282512e-06,1.913667e-12
3.549370e-02,4.651585e-05,2.064661e-09
4.467898e-04,1.829854e-08,3.409145e-16
3.458539e-02,1.752598e-05,3.447850e-10
7.410210e-03,1.390616e-05,1.491475e-09
1.469535e-01,4.947500e-04,2.288727e-07
1.736318e-02,7.764202e-06,6.221655e-11
1.961927e-02,3.212902e-05,1.003989e-08
