G1,G2,G3
1.236952e-03,9.560309e-08,3.040407e-14
6.249528e-04,6.306877e-08,7.371170e-15
9.508746e-02,1.572819e-04,2.063866e-08
7.998664e-04,1.569322e-07,1.209499e-13
4.203683e-02,2.750709e-04,7.371939e-08
3.247734e-04,2.414295e-08,5.857726e-16
3.233937e-02,2.657932e-04,2.554345e-07
6.459459e-03,1.601807e-06,2.749822e-11
9.976109e-04,1.921474e-07,3.684708e-14
1.196315e-02,8.899805e-06,9.287190e-11
4.073666e-02,2.439578e-06,1.259401e-11
4.071635e-03,4.047353e-06,2.891386e-11
8.868437e-02,1.136850e-03,1.582507e-06
4.544976e-02,1.556506e-04,3.329695e-08
2.435698e-02,1.809535e-06,1.391436e-11
1.252137e-02,1.052988e-05,4.007032e-10
1.983405e-01,3.473523e-04,1.442093e-07
4.964684e-02,5.096384e-04,3.024348e-07
6.285388e-02,7.822682e-05,1.355514e-08
4.715429e-02,3.238659e-04,1.014500e-07
1.572744e-02,6.452354e-06,6.264107e-11
7.474880e-03,1.060431e-05,5.513783e-10
1.098827e-01,8.047272e-04,5.431393e-07
6.673377e-03,4.201793e-07,1.888544e-13
1.394138e-01,3.543215e-04,1.478156e-07
1.514074e-04,4.968256e-09,3.308671e-17
4.498854e-03,5.025408e-06,5.869891e-11
2.063689e-02,2.734461e-05,6.131662e-09
1.009080e-01,1.169033e-04,2.966197e-08
2.424985e-02,1.498632e-04,8.731880e-08
1.175378e-02,7.296101e-07,5.940071e-12
1.055388e-01,1.807396e-03,7.722287e-06
6.029717e-03,3.115186e-06,1.112084e-11
6.624439e-04,8.662937e-08,7.617715e-15
1.395780e-01,5.083766e-04,2.722895e-07
2.628152e-03,1.439228e-06,2.972300e-11
5.185797e-02,1.765790e-04,3.308122e-08
3.816757e-02,3.759281e-05,1.758157e-09
3.123070e-02,8.517537e-06,8.716659e-11
1.929243e-01,1.645662e-05,1.906465e-10
1.589315e-02,9.626401e-07,1.534218e-12
1.134255e-02,3.156072e-05,2.545599e-09
9.178803e-02,4.584535e-04,4.616771e-07
2.885779e-03,2.013704e-06,6.378424e-12
3.433438e-02,1.989508e-06,4.371565e-12
1.020793e-01,1.190192e-03,1.315360e-06
2.309742e-01,3.104239e-03,6.587083e-06
1.494072e-01,6.370954e-03,5.997996e-05
1.943964e-01,8.748990e-03,8.330517e-05
8.655944e-04,9.025618e-08,2.131032e-13
8.533085e-04,1.815070e-07,5.768466e-13
2.640876e-02,8.845431e-05,9.903278e-09
2.629663e-03,7.468742e-07,1.601629e-12
4.954024e-02,3.502195e-06,1.305826e-11
2.157061e-01,9.091452e-03,9.530770e-05
1.142748e-02,2.060849e-06,4.204356e-12
1.283703e-01,2.627977e-03,1.179305e-05
3.348329e-02,1.224445e-04,4.767780e-08
1.759366e-02,6.702318e-06,4.340268e-11
1.648214e-01,4.627032e-05,1.603944e-09
4.903067e-02,3.204803e-05,1.688036e-09
4.755791e-02,4.030918e-04,2.634769e-07
2.037562e-01,1.089927e-02,9.361687e-05
3.258947e-02,6.460365e-06,1.711296e-10
7.009892e-03,5.966933e-07,1.135441e-12
2.375455e-02,2.143782e-06,2.995574e-11
6.944361e-04,3.403653e-08,1.946001e-15
4.495486e-02,1.104010e-05,4.130304e-10
4.254407e-02,1.800100e-05,8.789439e-10
2.227053e-01,9.001883e-04,7.246334e-07
7.141171e-02,2.626223e-04,1.444980e-07
6.826396e-04,5.151012e-08,9.345327e-15
3.320863e-02,6.618856e-06,6.974328e-11
1.404960e-01,4.287364e-03,1.917314e-05
8.021180e-04,6.846843e-08,2.159132e-13
5.463658e-02,4.611912e-06,3.119385e-11
3.804326e-02,6.551388e-05,5.560377e-09
6.353913e-03,8.438447e-07,1.732103e-11
5.966103e-02,7.459956e-04,1.091454e-06
2.185759e-01,3.200118e-03,1.123361e-05
6.349717e-02,9.404902e-06,2.092273e-10
3.783311e-03,1.284358e-06,8.538805e-12
1.553981e-01,1.291203e-05,1.358595e-10
2.394072e-02,2.375105e-05,6.402259e-10
1.655400e-03,9.313809e-08,3.019847e-13
1.034505e-01,1.484522e-04,3.315408e-08
5.715601e-04,8.060256e-08,3.018594e-14
3.016588e-02,3.601083e-05,9.193216e-09
1.584534e-02,1.498127e-06,3.254117e-12
2.013011e-02,1.341741e-05,1.916980e-10
1.474336e-02,1.191778e-05,8.617120e-10
6.417249e-02,2.437974e-04,5.285043e-08
1.889981e-01,2.433171e-05,4.967670e-10
7.097107e-02,2.956585e-05,1.799423e-09
5.049289e-03,3.855515e-06,2.583515e-10
2.498538e-02,1.174320e-05,4.296716e-10
2.763543e-04,1.710634e-08,2.995950e-16
2.368174e-02,9.647161e-05,3.062651e-08
1.996951e-02,9.404432e-06,9.087829e-11
1.310837e-01,3.236590e-03,8.334559e-06
1.616096e-01,5.049115e-04,3.509227e-07
1.388437e-02,1.646900e-05,4.817480e-10
2.136630e-01,1.116167e-02,9.746668e-05
2.300912e-04,1.302663e-08,1.696999e-16
1.689242e-02,2.509524e-06,1.430803e-11
1.090868e-01,2.323816e-04,4.535706e-08
8.956472e-02,1.741016e-03,7.254417e-06
6.461779e-02,3.928679e-05,2.611607e-09
2.147361e-01,9.907161e-05,1.126123e-08
8.929295e-02,3.097824e-04,1.614129e-07
4.979609e-03,1.069208e-06,1.434937e-12
1.117186e-01,6.584266e-06,5.419134e-11
7.714566e-04,1.424209e-07,4.777375e-14
8.959200e-03,6.163545e-06,3.565310e-10
