R1,R2,R3,ETriat,E,ENew
1.511781,1.511784,1.624569,41.166135,76.792558,76.792558
1.624569,1.511784,1.511781,41.166135,76.792558,76.792558
1.511776,1.511781,1.734233,40.103484,70.761780,70.761780
1.734233,1.511781,1.511776,40.103484,70.761780,70.761780
1.511781,1.511782,1.840621,39.261132,66.825229,66.825229
1.840621,1.511782,1.511781,39.261132,66.825229,66.825229
1.511781,1.511788,1.943512,38.588180,64.275853,64.275853
1.943512,1.511788,1.511781,38.588180,64.275853,64.275853
1.511781,1.511788,2.042701,36.839939,61.444870,61.444870
2.042701,1.511788,1.511781,36.839939,61.444870,61.444870
1.511781,1.511781,2.137981,34.671779,58.711456,58.711456
2.137981,1.511781,1.511781,34.671779,58.711456,58.711456
1.511781,1.511788,2.229203,32.629034,56.436401,56.436401
2.229203,1.511788,1.511781,32.629034,56.436401,56.436401
1.511781,1.511788,2.316189,30.950903,54.738609,54.738609
2.316189,1.511788,1.511781,30.950903,54.738609,54.738609
1.511781,1.511782,2.398759,29.622740,53.521249,53.521249
2.398759,1.511782,1.511781,29.622740,53.521249,53.521249
1.511776,1.511781,2.476758,28.647775,52.731978,52.731978
2.476758,1.511781,1.511776,28.647775,52.731978,52.731978
1.511781,1.511784,2.550043,27.020457,51.327892,51.327892
2.550043,1.511784,1.511781,27.020457,51.327892,51.327892
1.511780,1.511781,2.618481,25.032474,49.579190,49.579190
2.618481,1.511781,1.511780,25.032474,49.579190,49.579190
1.511777,1.511781,2.681929,23.425157,48.211096,48.211096
2.681929,1.511781,1.511777,23.425157,48.211096,48.211096
1.511781,1.511787,2.740281,22.149190,47.163636,47.163636
2.740281,1.511787,1.511781,22.149190,47.163636,47.163636
1.511781,1.511793,2.793418,21.164170,46.391885,46.391885
2.793418,1.511793,1.511781,21.164170,46.391885,46.391885
1.511781,1.511787,2.841227,20.416365,45.839035,45.839035
2.841227,1.511787,1.511781,20.416365,45.839035,45.839035
1.511777,1.511781,2.883619,20.005798,45.602311,45.602311
2.883619,1.511781,1.511777,20.005798,45.602311,45.602311
1.511780,1.511781,2.920536,19.829132,45.575772,45.575772
2.920536,1.511781,1.511780,19.829132,45.575772,45.575772
1.511781,1.511784,2.951896,19.816075,45.689646,45.689646
