# R1,R2,R3
2.150000,6.011853,6.000000
2.300000,3.300517,2.800000
2.300000,5.127972,5.000000
2.500000,3.414517,2.800000
2.500000,5.187369,5.000000
1.600000,3.313514,3.500000
2.300000,3.468930,3.500000
1.700000,5.649141,6.000000
2.300000,3.093561,3.000000
1.700000,3.327155,3.500000
2.300000,2.758037,2.500000
1.600000,5.656254,6.000000
2.150000,2.682496,2.500000
1.800000,3.783505,4.000000
2.300000,2.953774,2.800000
1.900000,4.702299,5.000000
2.000000,7.553500,8.000000
2.500000,3.925506,4.000000
1.800000,4.699323,5.000000
2.300000,5.643602,6.000000
1.700000,3.773397,4.000000
2.150000,9.482385,10.000000
2.800000,3.330775,3.000000
1.800000,9.535579,10.000000
2.000000,2.982576,3.000000
2.800000,4.022282,4.000000
1.900000,2.794800,2.800000
2.500000,3.049872,2.800000
1.800000,7.575607,8.000000
2.000000,3.811519,4.000000
3.000000,4.872309,5.000000
1.900000,5.030973,5.000000
2.000000,2.773524,2.300000
2.000000,3.303971,3.000000
2.150000,3.220524,2.800000
2.300000,3.089182,2.500000
2.300000,3.839826,3.500000
2.300000,7.930936,8.000000
2.500000,3.556020,3.000000
2.500000,7.956386,8.000000
1.600000,7.602913,8.000000
2.150000,3.034871,3.000000
1.900000,3.363203,3.500000
2.150000,2.888698,2.800000
1.900000,3.796221,4.000000
2.000000,4.707398,5.000000
1.900000,5.970831,6.000000
1.900000,9.849435,10.000000
2.000000,2.917793,2.500000
2.000000,5.052429,5.000000
2.150000,2.862712,2.300000
2.300000,4.253807,4.000000
2.300000,6.041300,6.000000
2.500000,3.932068,3.500000
2.500000,9.877631,10.000000
1.900000,2.951435,3.000000
2.300000,9.463460,10.000000
1.700000,9.553079,10.000000
2.150000,3.424193,3.500000
3.000000,4.097745,4.000000
1.900000,9.519098,10.000000
2.150000,3.839239,4.000000
2.800000,4.823218,5.000000
1.800000,3.343732,3.500000
2.150000,7.540359,8.000000
2.000000,2.830084,2.800000
1.900000,2.571149,2.500000
1.600000,4.978115,5.000000
1.700000,3.181004,3.000000
1.700000,4.993794,5.000000
1.800000,2.815522,2.500000
1.800000,5.011420,5.000000
1.600000,4.041943,4.000000
1.600000,9.849023,10.000000
1.700000,3.615742,3.500000
1.700000,7.884591,8.000000
1.800000,3.219410,3.000000
1.800000,7.889166,8.000000
1.600000,3.586801,3.500000
1.600000,7.881282,8.000000
1.700000,4.065512,4.000000
1.700000,9.848145,10.000000
1.800000,3.647195,3.500000
1.800000,5.957281,6.000000
1.600000,5.935146,6.000000
1.700000,3.012784,2.800000
1.700000,5.945383,6.000000
1.800000,3.054444,2.800000
1.800000,4.091389,4.000000
1.700000,3.870117,2.800000
1.800000,6.264184,6.000000
1.800000,10.160709,10.000000
1.700000,3.935734,2.800000
1.800000,5.864841,5.000000
1.800000,6.620306,5.000000
1.800000,6.309531,5.000000
1.800000,6.102459,5.000000
2.800000,6.793730,4.000000
1.800000,6.022588,5.000000
1.800000,6.754751,5.000000
3.000000,7.744725,5.000000
1.800000,6.794962,5.000000
3.000000,6.766433,4.000000
3.000000,6.261745,5.000000
3.000000,6.993474,4.000000
3.000000,7.935854,5.000000
1.800000,3.363937,2.150000
1.800000,3.559494,2.300000
1.600000,8.426470,8.000000
1.800000,3.157183,2.300000
1.800000,3.034228,2.150000
1.800000,3.498571,3.000000
1.800000,3.241872,2.150000
1.800000,3.496358,2.300000
1.800000,2.920616,2.300000
1.800000,3.991719,3.000000
1.800000,3.425274,2.150000
1.800000,3.757047,3.000000
1.600000,8.158431,8.000000
1.800000,3.370746,2.300000
1.800000,2.804015,2.150000
1.800000,4.130247,3.000000
