# R1,R2,R3,E
1.511781,1.511784,1.624569,77.001703
1.511776,1.511781,1.734233,70.972790
1.511781,1.511782,1.840621,67.039708
1.511781,1.511788,1.943512,64.518518
1.511781,1.511788,2.042701,61.887921
1.511781,1.511781,2.137981,59.306455
1.511781,1.511788,2.229203,56.922513
1.511781,1.511788,2.316189,55.179449
1.511781,1.511782,2.398759,53.909444
1.511776,1.511781,2.476758,53.051312
1.511781,1.511784,2.550043,52.171497
1.511780,1.511781,2.618481,50.325227
1.511777,1.511781,2.681929,48.851280
1.511781,1.511787,2.740281,47.739034
1.511781,1.511793,2.793418,46.943866
1.511781,1.511787,2.841227,46.326058
1.511777,1.511781,2.883619,46.306371
1.511780,1.511781,2.920536,46.447998
1.511781,1.511784,2.951896,46.639927
1.511776,1.511781,2.977621,46.854363
1.511781,1.511782,2.997695,47.015027
1.511781,1.511788,3.012064,47.130852
1.511781,1.511788,3.020692,47.218795
1.492829,1.511781,1.700760,74.253112
1.511781,1.614578,1.700749,65.002722
1.511781,1.700761,1.733438,58.658726
1.511781,1.700749,1.849118,54.347639
1.511781,1.700749,1.961397,51.503169
1.511781,1.700758,2.070054,48.962293
1.511781,1.700762,2.174831,46.504631
1.511781,1.700754,2.275532,43.913062
1.511781,1.700762,2.371973,41.973818
1.511781,1.700758,2.463939,40.611752
1.511781,1.700749,2.551270,39.672658
1.511781,1.700749,2.633784,39.082082
1.511781,1.700761,2.711335,38.458116
1.511781,1.700749,2.783738,37.181043
1.511781,1.700760,2.850893,36.152099
1.511781,1.700755,2.912642,35.360834
1.511781,1.700764,2.968885,34.809069
1.511781,1.700755,3.019487,34.466493
1.511781,1.700760,3.064382,34.307390
1.511781,1.700749,3.103450,34.313721
1.511781,1.700761,3.136658,34.671518
1.511781,1.700749,3.163893,34.987079
1.511781,1.700749,3.185141,35.298216
1.511781,1.700758,3.200357,35.567854
1.511781,1.700762,3.209496,35.809089
1.477776,1.511781,1.889723,69.018109
1.511781,1.606015,1.889727,58.572518
1.511781,1.731971,1.889734,51.840412
1.511781,1.855220,1.889731,47.404480
1.511781,1.889721,1.975431,44.454072
1.511781,1.889734,2.092309,42.430963
1.511781,1.889731,2.205534,39.766455
1.511781,1.889718,2.314845,37.028835
1.511781,1.889726,2.420030,34.938338
1.511781,1.889718,2.520818,33.433950
1.511781,1.889731,2.617011,32.442429
1.511781,1.889734,2.708394,31.751899
1.511781,1.889721,2.794768,31.331788
1.511781,1.889731,2.875985,30.846023
1.511781,1.889734,2.951851,29.969374
1.511781,1.889727,3.022220,29.221169
1.511781,1.889723,3.086947,28.683151
1.511781,1.889735,3.145917,28.337539
1.511781,1.889723,3.198978,28.159225
1.511781,1.889727,3.246064,28.124621
1.511781,1.889734,3.287068,28.213561
1.511781,1.889731,3.321890,28.413036
1.511781,1.889721,3.350468,28.818924
1.511781,1.889734,3.372776,29.188126
1.511781,1.889731,3.388728,29.571378
1.511781,1.889718,3.398301,29.924535
1.470464,1.511781,2.078706,65.326175
1.511781,1.602032,2.078705,54.665498
1.511781,1.732490,2.078699,47.390127
1.511781,1.861168,2.078702,43.244170
1.511781,1.987534,2.078701,40.343154
1.511781,2.078694,2.111123,38.310244
1.511781,2.078701,2.231544,36.312286
1.511781,2.078700,2.348426,33.358930
1.511781,2.078691,2.461435,31.191505
1.511781,2.078699,2.570305,29.525238
1.511781,2.078691,2.674735,28.369541
1.511781,2.078700,2.774500,27.570211
1.511781,2.078701,2.869350,27.071653
1.511781,2.078694,2.959064,26.799760
1.511781,2.078701,3.043463,26.540400
1.511781,2.078702,3.122342,25.940414
1.511781,2.078699,3.195531,25.423210
1.511781,2.078705,3.262895,25.073392
1.511781,2.078706,3.324264,24.880248
1.511781,2.078705,3.379519,24.824655
1.511781,2.078699,3.428544,24.887230
1.511781,2.078702,3.471243,25.050279
1.511781,2.078701,3.507520,25.247672
1.511781,2.078694,3.537298,25.605643
1.511781,2.078701,3.560534,26.032649
1.511781,2.078700,3.577160,26.456187
