R1,R2,R3,ETriat,E,ENew
4.000000,11.532563,9.000000,9.980419,9.335137,9.335137
9.000000,11.532563,4.000000,9.980419,9.335137,9.335137
4.000000,12.489996,10.000000,9.980051,9.335682,9.335682
10.000000,12.489996,4.000000,9.980051,9.335682,9.335682
4.500000,7.794229,4.500000,10.138697,9.629837,9.629837
4.500000,7.794229,4.500000,10.138697,9.629837,9.629837
4.500000,8.231039,5.000000,10.032452,9.669837,9.669837
5.000000,8.231039,4.500000,10.032452,9.669837,9.669837
4.500000,8.674676,5.500000,9.969815,9.664667,9.664667
5.500000,8.674676,4.500000,9.969815,9.664667,9.664667
4.500000,9.124144,6.000000,9.935995,9.655143,9.655143
6.000000,9.124144,4.500000,9.935995,9.655143,9.655143
4.500000,10.037430,7.000000,9.911684,9.649429,9.649429
7.000000,10.037430,4.500000,9.911684,9.649429,9.649429
4.500000,10.965856,8.000000,9.905981,9.649701,9.649701
8.000000,10.965856,4.500000,9.905981,9.649701,9.649701
4.500000,11.905881,9.000000,9.904687,9.650517,9.650517
9.000000,11.905881,4.500000,9.904687,9.650517,9.650517
4.500000,12.854960,10.000000,9.904346,9.651062,9.651062
10.000000,12.854960,4.500000,9.904346,9.651062,9.651062
5.500000,9.096703,5.000000,9.894838,9.735145,9.735145
5.000000,9.096703,5.500000,9.894838,9.735145,9.735145
5.500000,9.526279,5.500000,9.849007,9.746301,9.746301
5.500000,9.526279,5.500000,9.849007,9.746301,9.746301
5.500000,9.962429,6.000000,9.823651,9.744941,9.744941
6.000000,9.962429,5.500000,9.823651,9.744941,9.744941
5.500000,10.851267,7.000000,9.802111,9.741675,9.741675
7.000000,10.851267,5.500000,9.802111,9.741675,9.741675
5.500000,11.757976,8.000000,9.796556,9.741948,9.741948
8.000000,11.757976,5.500000,9.796556,9.741948,9.741948
5.500000,12.678722,9.000000,9.795334,9.742764,9.742764
9.000000,12.678722,5.500000,9.795334,9.742764,9.742764
5.500000,13.610658,10.000000,9.795030,9.743308,9.743308
10.000000,13.610658,5.500000,9.795030,9.743308,9.743308
5.500000,9.526279,5.500000,9.869960,9.767254,9.767254
5.500000,9.526279,5.500000,9.869960,9.767254,9.767254
5.500000,9.962429,6.000000,9.851406,9.772696,9.772696
6.000000,9.962429,5.500000,9.851406,9.772696,9.772696
5.500000,10.851267,7.000000,9.833676,9.773241,9.773241
7.000000,10.851267,5.500000,9.833676,9.773241,9.773241
5.500000,11.757976,8.000000,9.828393,9.773785,9.773785
8.000000,11.757976,5.500000,9.828393,9.773785,9.773785
5.500000,12.678722,9.000000,9.827171,9.774601,9.774601
9.000000,12.678722,5.500000,9.827171,9.774601,9.774601
5.500000,13.610658,10.000000,9.826867,9.775145,9.775145
10.000000,13.610658,5.500000,9.826867,9.775145,9.775145
6.000000,10.392305,6.000000,9.836742,9.781948,9.781948
6.000000,10.392305,6.000000,9.836742,9.781948,9.781948
6.000000,11.269428,7.000000,9.823458,9.786846,9.786846
7.000000,11.269428,6.000000,9.823458,9.786846,9.786846
6.000000,12.165525,8.000000,9.818494,9.787663,9.787663
8.000000,12.165525,6.000000,9.818494,9.787663,9.787663
6.000000,13.076697,9.000000,9.817023,9.788207,9.788207
9.000000,13.076697,6.000000,9.817023,9.788207,9.788207
6.000000,14.000000,10.000000,9.816732,9.788751,9.788751
10.000000,14.000000,6.000000,9.816732,9.788751,9.788751
7.000000,12.124356,7.000000,9.814914,9.796370,9.796370
7.000000,12.124356,7.000000,9.814914,9.796370,9.796370
7.000000,13.000000,8.000000,9.811370,9.798547,9.798547
8.000000,13.000000,7.000000,9.811370,9.798547,9.798547
7.000000,13.892444,9.000000,9.810204,9.799364,9.799364
9.000000,13.892444,7.000000,9.810204,9.799364,9.799364
7.000000,14.798649,10.000000,9.809659,9.799636,9.799636
10.000000,14.798649,7.000000,9.809659,9.799636,9.799636
8.000000,15.620499,10.000000,9.807268,9.802901,9.802901
10.000000,15.620499,8.000000,9.807268,9.802901,9.802901
3.000000,5.795555,3.000000,14.625932,6.382430,6.382430
3.000000,5.795555,3.000000,14.625932,6.382430,6.382430
3.000000,6.037383,3.250000,13.731139,6.886929,6.886929
3.250000,6.037383,3.000000,13.731139,6.886929,6.886929
3.000000,6.279851,3.500000,12.804815,6.968835,6.968835
3.500000,6.279851,3.000000,12.804815,6.968835,6.968835
3.000000,6.522888,3.750000,11.915855,6.744886,6.744886
3.750000,6.522888,3.000000,11.915855,6.744886,6.744886
3.000000,6.766433,4.000000,11.246691,6.487194,6.487194
4.000000,6.766433,3.000000,11.246691,6.487194,6.487194
3.000000,7.254839,4.500000,10.498372,6.134534,6.134534
4.500000,7.254839,3.000000,10.498372,6.134534,6.134534
3.000000,7.744725,5.000000,10.190810,5.974531,5.974531
5.000000,7.744725,3.000000,10.190810,5.974531,5.974531
3.000000,8.235827,5.500000,10.068171,5.910040,5.910040
5.500000,8.235827,3.000000,10.068171,5.910040,5.910040
3.000000,8.727939,6.000000,10.019843,5.886367,5.886367
6.000000,8.727939,3.000000,10.019843,5.886367,5.886367
3.000000,9.714580,7.000000,9.991684,5.877115,5.877115
7.000000,9.714580,3.000000,9.991684,5.877115,5.877115
3.000000,10.703701,8.000000,9.986145,5.877659,5.877659
8.000000,10.703701,3.000000,9.986145,5.877659,5.877659
3.000000,11.694673,9.000000,9.984808,5.878475,5.878475
9.000000,11.694673,3.000000,9.984808,5.878475,5.878475
3.000000,12.687061,10.000000,9.984722,5.879292,5.879292
10.000000,12.687061,3.000000,9.984722,5.879292,5.879292
3.250000,6.278518,3.250000,13.096525,7.649120,7.649120
3.250000,6.278518,3.250000,13.096525,7.649120,7.649120
3.250000,6.520320,3.500000,12.423811,7.983004,7.983004
3.500000,6.520320,3.250000,12.423811,7.983004,7.983004
3.250000,6.762719,3.750000,11.751504,7.974568,7.974568
3.750000,6.762719,3.250000,11.751504,7.974568,7.974568
3.250000,7.005652,4.000000,11.181952,7.815654,7.815654
4.000000,7.005652,3.250000,11.181952,7.815654,7.815654
3.250000,7.492913,4.500000,10.495691,7.523948,7.523948
4.500000,7.492913,3.250000,10.495691,7.523948,7.523948
3.250000,7.981750,5.000000,10.202360,7.377550,7.377550
5.000000,7.981750,3.250000,10.202360,7.377550,7.377550
3.250000,8.471889,5.500000,10.084145,7.317141,7.317141
5.500000,8.471889,3.250000,10.084145,7.317141,7.317141
3.250000,8.963118,6.000000,10.037367,7.294828,7.294828
6.000000,8.963118,3.250000,10.037367,7.294828,7.294828
3.250000,9.948199,7.000000,10.010201,7.286392,7.286392
7.000000,9.948199,3.250000,10.010201,7.286392,7.286392
3.250000,10.935987,8.000000,10.004733,7.286937,7.286937
8.000000,10.935987,3.250000,10.004733,7.286937,7.286937
3.250000,11.925812,9.000000,10.003700,7.288025,7.288025
9.000000,11.925812,3.250000,10.003700,7.288025,7.288025
3.250000,12.917204,10.000000,10.003357,7.288569,7.288569
10.000000,12.917204,3.250000,10.003357,7.288569,7.288569
3.500000,6.761481,3.500000,11.970472,8.535123,8.535123
3.500000,6.761481,3.500000,11.970472,8.535123,8.535123
3.500000,7.003261,3.750000,11.497375,8.725058,8.725058
