E
1.444646e+01
2.821327e+00
4.783069e-01
1.156103e-02
-7.740652e-03
-6.438515e-04
-1.671462e-05
1.115832e-07
1.444646e+01
7.476942e+00
2.159774e+00
3.654515e-01
4.840707e-02
2.842946e-03
2.961308e-05
-1.017248e-05
-2.863433e-06
2.821327e+00
2.159774e+00
8.183304e-01
1.524591e-01
1.462676e-02
5.184262e-04
-5.695536e-05
-2.907063e-05
-1.247788e-05
4.783069e-01
3.654515e-01
1.524591e-01
2.371318e-02
1.689324e-03
4.830618e-05
-3.444781e-06
-1.934207e-06
-9.057627e-07
1.156103e-02
4.840707e-02
1.462676e-02
1.689324e-03
9.047796e-05
2.302708e-06
1.918319e-08
-4.417818e-09
-2.254102e-09
-7.740652e-03
2.842946e-03
5.184262e-04
4.830618e-05
2.302708e-06
4.538684e-08
4.410447e-10
1.705732e-12
-2.104912e-13
-6.438515e-04
2.961308e-05
-5.695536e-05
-3.444781e-06
1.918319e-08
4.410447e-10
3.391485e-12
1.300411e-14
2.372849e-17
-1.671462e-05
-1.017248e-05
-2.907063e-05
-1.934207e-06
-4.417818e-09
1.705732e-12
1.300411e-14
4.002256e-17
6.044780e-20
1.115832e-07
-2.863433e-06
-1.247788e-05
-9.057627e-07
-2.254102e-09
-2.104912e-13
2.372849e-17
6.044780e-20
7.196235e-23
7.196235e-23
