# Ang2,R1,R3,ETot[Eh],ERel[Eh]
65,2.25,2.25,-163.19577482,0.443099
65,2.25,2.3,-163.21726861,0.421605
65,2.25,2.35,-163.23556816,0.403305
65,2.25,2.4,-163.25107313,0.387800
65,2.25,2.45,-163.26413616,0.374737
65,2.25,2.5,-163.27506903,0.363804
65,2.25,2.55,-163.28414768,0.354726
65,2.25,2.6,-163.29161767,0.347256
65,2.25,2.7,-163.30259219,0.336281
65,2.25,2.8,-163.30961911,0.329254
65,2.25,2.9,-163.34355071,0.295323
65,2.25,3,-163.37682384,0.262050
65,2.25,3.1,-163.40636440,0.232509
65,2.25,3.2,-163.43234897,0.206524
65,2.25,3.3,-163.45522048,0.183653
65,2.25,3.4,-163.47543865,0.163435
65,2.25,3.6,-163.50940287,0.129470
65,2.25,3.8,-163.53640884,0.102465
65,2.25,4,-163.55772896,0.081144
65,2.3,2.3,-163.23824869,0.400625
65,2.3,2.35,-163.25606852,0.382805
65,2.3,2.4,-163.27112518,0.367748
65,2.3,2.45,-163.28376842,0.355105
65,2.3,2.5,-163.29430686,0.344566
65,2.3,2.55,-163.30301299,0.335860
65,2.3,2.6,-163.31012818,0.328745
65,2.3,2.7,-163.32042141,0.318452
65,2.3,2.8,-163.32668022,0.312193
65,2.3,2.9,-163.33068842,0.308185
65,2.3,3,-163.37186722,0.267006
65,2.3,3.1,-163.40069490,0.238178
65,2.3,3.2,-163.42608829,0.212785
65,2.3,3.3,-163.44840548,0.190468
65,2.3,3.4,-163.46809553,0.170778
65,2.3,3.6,-163.50111749,0.137756
65,2.3,3.8,-163.52740096,0.111472
65,2.3,4,-163.54822844,0.090645
65,2.4,2.4,-163.30232624,0.336547
65,2.4,2.45,-163.31421308,0.324660
65,2.4,2.5,-163.32404273,0.314831
65,2.4,2.55,-163.33208244,0.306791
65,2.4,2.6,-163.33856750,0.300306
65,2.4,2.7,-163.34767954,0.291194
65,2.4,2.8,-163.35277252,0.286101
65,2.4,2.9,-163.35500315,0.283870
65,2.4,3,-163.35599569,0.282878
65,2.4,3.1,-163.38549907,0.253374
65,2.4,3.2,-163.40967480,0.229199
65,2.4,3.3,-163.43094898,0.207924
65,2.4,3.4,-163.44965514,0.189218
65,2.4,3.6,-163.48087938,0.157994
65,2.4,3.8,-163.50572226,0.133151
65,2.4,4,-163.52552710,0.113346
65,2.5,2.5,-163.34448516,0.294388
65,2.5,2.55,-163.35194927,0.286924
65,2.5,2.6,-163.35789397,0.280979
65,2.5,2.7,-163.36601199,0.272861
65,2.5,2.8,-163.37018557,0.268688
65,2.5,2.9,-163.37147129,0.267402
