# R1,R2,R3,ETriat,E
2.300000,2.281735,1.900000,43.073409,17.167662
1.900000,2.314847,2.350000,42.050631,16.614672
2.350000,2.314847,1.900000,42.050631,16.614672
1.900000,2.348557,2.400000,40.994388,16.076649
2.400000,2.348557,1.900000,40.994388,16.076649
1.900000,2.382839,2.450000,39.980181,15.619362
2.450000,2.382839,1.900000,39.980181,15.619362
1.900000,2.417670,2.500000,38.910791,15.137067
2.500000,2.417670,1.900000,38.910791,15.137067
1.900000,2.453024,2.550000,37.363823,14.199907
2.550000,2.453024,1.900000,37.363823,14.199907
1.900000,2.488882,2.600000,35.996372,13.458424
2.600000,2.488882,1.900000,35.996372,13.458424
1.900000,2.562018,2.700000,33.268902,12.009010
2.700000,2.562018,1.900000,33.268902,12.009010
1.900000,2.636919,2.800000,30.651836,10.673883
2.800000,2.636919,1.900000,30.651836,10.673883
1.900000,2.713438,2.900000,28.196053,9.473943
2.900000,2.713438,1.900000,28.196053,9.473943
1.900000,2.791443,3.000000,25.921685,8.405977
3.000000,2.791443,1.900000,25.921685,8.405977
1.900000,2.870811,3.100000,23.834953,7.458368
3.100000,2.870811,1.900000,23.834953,7.458368
1.900000,2.951434,3.200000,21.935465,6.617673
3.200000,2.951434,1.900000,21.935465,6.617673
1.900000,3.033211,3.300000,20.219542,5.871455
3.300000,3.033211,1.900000,20.219542,5.871455
1.900000,3.116051,3.400000,18.681573,5.209211
3.400000,3.116051,1.900000,18.681573,5.209211
1.900000,3.284598,3.600000,16.109164,4.103395
3.600000,3.284598,1.900000,16.109164,4.103395
1.900000,3.456500,3.800000,14.142727,3.245012
3.800000,3.456500,1.900000,14.142727,3.245012
1.900000,3.631281,4.000000,12.687480,2.589136
4.000000,3.631281,1.900000,12.687480,2.589136
2.000000,2.149198,2.000000,48.071356,20.452049
2.000000,2.149198,2.000000,48.071356,20.452049
2.000000,2.176472,2.050000,47.299622,19.606129
2.050000,2.176472,2.000000,47.299622,19.606129
2.000000,2.204542,2.100000,46.506690,18.875748
2.100000,2.204542,2.000000,46.506690,18.875748
2.000000,2.233379,2.150000,45.705279,18.252662
2.150000,2.233379,2.000000,45.705279,18.252662
2.000000,2.262954,2.200000,44.903125,17.726285
2.200000,2.262954,2.000000,44.903125,17.726285
2.000000,2.293237,2.250000,44.102741,17.283120
2.250000,2.293237,2.000000,44.102741,17.283120
2.000000,2.324201,2.300000,43.296172,16.901235
2.300000,2.324201,2.000000,43.296172,16.901235
2.000000,2.355820,2.350000,41.001622,15.086644
2.350000,2.355820,2.000000,41.001622,15.086644
2.000000,2.388067,2.400000,39.988324,14.597955
2.400000,2.388067,2.000000,39.988324,14.597955
2.000000,2.420917,2.450000,38.982658,14.152287
2.450000,2.420917,2.000000,38.982658,14.152287
2.000000,2.454347,2.500000,37.960264,13.717204
2.500000,2.454347,2.000000,37.960264,13.717204
2.000000,2.488332,2.550000,36.829551,13.194065
2.550000,2.488332,2.000000,36.829551,13.194065
2.000000,2.522850,2.600000,35.426947,12.413126
2.600000,2.522850,2.000000,35.426947,12.413126
2.000000,2.593400,2.700000,32.836101,11.086870
2.700000,2.593400,2.000000,32.836101,11.086870
2.000000,2.665835,2.800000,30.385052,9.899719
2.800000,2.665835,2.000000,30.385052,9.899719
2.000000,2.740005,2.900000,28.113899,8.863646
2.900000,2.740005,2.000000,28.113899,8.863646
2.000000,2.815774,3.000000,25.966246,7.900336
3.000000,2.815774,2.000000,25.966246,7.900336
2.000000,2.893015,3.100000,23.996457,7.047395
3.100000,2.893015,2.000000,23.996457,7.047395
2.000000,2.971613,3.200000,22.201506,6.289558
3.200000,2.971613,2.000000,22.201506,6.289558
2.000000,3.051465,3.300000,20.577200,5.614470
3.300000,3.051465,2.000000,20.577200,5.614470
2.000000,3.132474,3.400000,19.117145,5.011276
3.400000,3.132474,2.000000,19.117145,5.011276
2.000000,3.297620,3.600000,16.661018,3.989869
3.600000,3.297620,2.000000,16.661018,3.989869
2.000000,3.466439,3.800000,14.767932,3.181283
3.800000,3.466439,2.000000,14.767932,3.181283
2.000000,3.638421,4.000000,13.356252,2.553108
4.000000,3.638421,2.000000,13.356252,2.553108
2.100000,2.256658,2.100000,44.820769,17.236861
2.100000,2.256658,2.100000,44.820769,17.236861
2.100000,2.283913,2.150000,44.095953,16.712252
2.150000,2.283913,2.100000,44.095953,16.712252
2.100000,2.311927,2.200000,43.357195,16.266612
2.200000,2.311927,2.100000,43.357195,16.266612
2.100000,2.340675,2.250000,42.614734,15.894523
2.250000,2.340675,2.100000,42.614734,15.894523
2.100000,2.370128,2.300000,41.874368,15.588177
2.300000,2.370128,2.100000,41.874368,15.588177
2.100000,2.400262,2.350000,41.136894,15.336554
2.350000,2.400262,2.100000,41.136894,15.336554
2.100000,2.431051,2.400000,40.381955,15.109039
2.400000,2.431051,2.100000,40.381955,15.109039
2.100000,2.462470,2.450000,38.251978,13.539160
2.450000,2.462470,2.100000,38.251978,13.539160
2.100000,2.494496,2.500000,37.278957,13.151180
2.500000,2.494496,2.100000,37.278957,13.151180
2.100000,2.527105,2.550000,35.865453,12.340934
2.550000,2.527105,2.100000,35.865453,12.340934
2.100000,2.560275,2.600000,34.572149,11.663235
2.600000,2.560275,2.100000,34.572149,11.663235
2.100000,2.628214,2.700000,32.012364,10.351782
2.700000,2.628214,2.100000,32.012364,10.351782
2.100000,2.698149,2.800000,29.557649,9.140766
2.800000,2.698149,2.100000,29.557649,9.140766
2.100000,2.769930,2.900000,27.249059,8.044692
2.900000,2.769930,2.100000,27.249059,8.044692
2.100000,2.843415,3.000000,25.113739,7.070035
3.000000,2.843415,2.100000,25.113739,7.070035
2.100000,2.918477,3.100000,23.160123,6.209447
3.100000,2.918477,2.100000,23.160123,6.209447
2.100000,2.994998,3.200000,21.386687,5.449923
3.200000,2.994998,2.100000,21.386687,5.449923
2.100000,3.072867,3.300000,19.787326,4.777775
3.300000,3.072867,2.100000,19.787326,4.777775
2.100000,3.151985,3.400000,18.354109,4.181029
3.400000,3.151985,2.100000,18.354109,4.181029
2.100000,3.313610,3.600000,15.950701,3.177473
3.600000,3.313610,2.100000,15.950701,3.177473
2.100000,3.479226,3.800000,14.100427,2.385350
3.800000,3.479226,2.100000,14.100427,2.385350
2.100000,3.648289,4.000000,12.717989,1.768114
4.000000,3.648289,2.100000,12.717989,1.768114
2.200000,2.364118,2.200000,41.757017,15.184415
2.200000,2.364118,2.200000,41.757017,15.184415
2.200000,2.391355,2.250000,41.084795,14.889960
2.250000,2.391355,2.200000,41.084795,14.889960
2.200000,2.419319,2.300000,40.401518,14.645140
2.300000,2.419319,2.200000,40.401518,14.645140
2.200000,2.447984,2.350000,39.715503,14.446714
2.350000,2.447984,2.200000,39.715503,14.446714
2.200000,2.477327,2.400000,39.035542,14.293487
2.400000,2.477327,2.200000,39.035542,14.293487
2.200000,2.507324,2.450000,38.373944,14.189131
2.450000,2.507324,2.200000,38.373944,14.189131
2.200000,2.537952,2.500000,36.362784,12.758248
2.500000,2.537952,2.200000,36.362784,12.758248
2.200000,2.569187,2.550000,35.342786,12.335084
2.550000,2.569187,2.200000,35.342786,12.335084
2.200000,2.601009,2.600000,33.600153,11.200206
2.600000,2.601009,2.200000,33.600153,11.200206
2.200000,2.666326,2.700000,31.282994,10.112267
2.700000,2.666326,2.200000,31.282994,10.112267
2.200000,2.733742,2.800000,28.957794,9.008383
2.800000,2.733742,2.200000,28.957794,9.008383
2.200000,2.803104,2.900000,26.735891,7.974650
2.900000,2.803104,2.200000,26.735891,7.974650
2.200000,2.874272,3.000000,24.669996,7.044184
3.000000,2.874272,2.200000,24.669996,7.044184
2.200000,2.947115,3.100000,22.779813,6.221774
3.100000,2.947115,2.200000,22.779813,6.221774
2.200000,3.021512,3.200000,21.066741,5.498033
3.200000,3.021512,2.200000,21.066741,5.498033
2.200000,3.097351,3.300000,19.524675,4.859817
3.300000,3.097351,2.200000,19.524675,4.859817
2.200000,3.174528,3.400000,18.144752,4.294637
3.400000,3.174528,2.200000,18.144752,4.294637
2.200000,3.332526,3.600000,15.832003,3.344252
3.600000,3.332526,2.200000,15.832003,3.344252
2.200000,3.494828,3.800000,14.048298,2.589898
3.800000,3.494828,2.200000,14.048298,2.589898
2.200000,3.660863,4.000000,12.710463,1.996799
4.000000,3.660863,2.200000,12.710463,1.996799
2.250000,2.417848,2.250000,37.872685,12.057337
2.250000,2.417848,2.250000,37.872685,12.057337
2.250000,2.445077,2.300000,36.848829,11.472456
2.300000,2.445077,2.250000,36.848829,11.472456
2.250000,2.473017,2.350000,35.863856,10.974487
2.350000,2.473017,2.250000,35.863856,10.974487
2.250000,2.501644,2.400000,34.916794,10.552575
2.400000,2.501644,2.250000,34.916794,10.552575
2.250000,2.530935,2.450000,34.006573,10.197112
2.450000,2.530935,2.250000,34.006573,10.197112
2.250000,2.560868,2.500000,33.132071,9.899610
2.500000,2.560868,2.250000,33.132071,9.899610
