G1,G2,G3
2.170759e-01,4.693229e-02,1.010273e-02
1.460745e-02,1.987764e-04,2.404184e-06
3.109532e-02,8.823940e-04,2.096094e-05
2.089925e-02,3.116386e-04,4.035421e-06
1.803345e-02,2.436319e-04,2.862973e-06
1.910835e-02,3.413110e-04,5.691994e-06
2.902249e-02,8.175429e-04,2.234406e-05
4.957013e-02,1.317674e-03,2.893670e-05
1.113268e-01,5.324399e-03,2.067604e-04
3.802658e-02,1.117400e-03,2.786330e-05
3.296245e-02,8.631030e-04,2.037402e-05
9.882291e-02,6.228205e-03,3.365210e-04
3.630803e-02,1.107135e-03,3.094033e-05
2.936128e-02,5.349679e-04,8.020980e-06
8.429476e-02,3.566506e-03,1.247000e-04
1.948871e-01,3.695513e-02,6.779852e-03
1.038816e-01,1.571241e-03,1.828097e-05
1.632102e-02,2.476752e-04,3.296498e-06
1.047040e-01,1.013574e-02,8.991596e-04
1.396806e-01,1.264146e-02,9.749738e-04
4.547414e-02,9.405145e-04,1.579685e-05
5.084144e-02,2.433844e-03,1.062464e-04
1.165650e-01,6.529659e-03,3.001735e-04
1.510101e-02,2.133074e-04,2.713422e-06
3.820712e-02,1.261677e-03,3.829275e-05
1.408333e-02,1.757358e-04,1.979235e-06
1.052214e-01,1.718345e-03,2.160577e-05
5.343731e-02,2.642035e-03,1.225244e-04
1.599902e-02,2.374153e-04,3.347824e-06
4.799710e-02,2.199268e-03,9.697571e-05
2.514220e-01,6.134217e-02,1.463411e-02
3.045765e-02,4.139768e-04,4.541515e-06
5.637068e-02,2.950087e-03,1.371343e-04
2.147521e-02,3.938368e-04,6.180570e-06
6.545570e-02,3.607519e-03,1.820189e-04
7.893044e-02,5.612799e-03,3.549974e-04
1.372787e-01,5.570236e-03,1.788523e-04
6.135367e-02,2.657629e-03,9.831342e-05
2.115687e-01,4.180227e-02,7.865258e-03
4.381618e-02,1.138593e-03,2.409033e-05
1.678601e-02,2.538900e-04,3.615248e-06
8.916726e-02,7.817227e-03,6.718335e-04
8.187655e-03,6.659862e-05,5.378425e-07
8.837644e-02,7.320562e-03,5.741327e-04
3.690660e-02,1.357686e-03,4.979480e-05
8.300554e-02,6.496973e-03,4.606832e-04
1.677023e-01,2.591202e-02,3.802867e-03
2.193435e-02,4.666144e-04,9.543503e-06
4.496062e-02,1.922930e-03,7.864630e-05
8.224465e-02,2.497237e-03,6.045568e-05
1.949944e-02,3.256721e-04,4.947392e-06
2.935046e-02,7.765101e-04,1.913866e-05
1.755493e-01,1.294475e-02,7.760062e-04
1.031952e-01,7.767331e-03,5.160278e-04
5.863766e-02,3.174295e-03,1.470115e-04
1.314867e-02,1.663259e-04,1.981612e-06
3.361589e-02,9.325483e-04,2.109868e-05
9.855345e-02,4.899590e-03,2.004391e-04
5.127730e-02,2.480560e-03,1.083277e-04
8.749469e-02,7.203532e-03,5.332874e-04
6.506394e-02,1.901803e-03,4.503368e-05
3.587749e-02,7.135513e-04,1.093765e-05
4.566314e-02,1.418236e-03,3.684465e-05
6.275225e-02,3.606629e-03,1.966962e-04
3.331291e-01,1.090626e-01,3.500375e-02
2.933179e-02,8.201120e-04,2.119384e-05
3.283735e-02,6.450962e-04,1.061757e-05
3.750123e-02,1.321006e-03,4.464805e-05
2.378453e-02,3.826613e-04,4.980153e-06
9.619748e-02,8.770298e-03,7.687844e-04
5.297256e-02,2.696393e-03,1.289159e-04
9.829557e-02,7.605027e-03,5.296999e-04
3.180572e-02,9.419383e-04,2.467179e-05
1.615507e-02,2.268997e-04,2.795080e-06
1.847295e-02,3.177875e-04,5.074665e-06
2.438136e-02,3.731163e-04,4.591058e-06
3.278335e-02,6.391382e-04,9.622562e-06
1.628474e-01,1.914674e-02,1.978334e-03
2.765765e-02,6.226811e-04,1.088636e-05
7.890731e-02,5.491430e-03,3.474465e-04
1.604589e-01,2.270141e-02,3.000279e-03
5.492119e-02,2.418434e-03,8.917588e-05
3.030804e-02,6.467216e-04,1.138004e-05
6.931834e-02,4.728502e-03,3.159426e-04
2.966249e-02,5.227383e-04,7.268214e-06
1.249996e-02,1.421973e-04,1.528918e-06
1.588359e-01,2.516220e-02,3.976115e-03
1.958634e-01,3.515099e-02,5.927516e-03
9.878405e-02,4.739977e-03,1.875997e-04
2.797937e-02,6.683128e-04,1.325945e-05
2.009885e-01,3.893140e-02,7.345995e-03
2.600163e-02,6.593644e-04,1.619027e-05
1.486094e-02,1.723477e-04,1.773421e-06
1.034378e-01,9.623188e-03,8.299459e-04
2.308870e-02,3.859687e-04,5.589895e-06
5.599360e-02,2.376720e-03,8.613024e-05
1.979943e-02,2.870744e-04,3.576771e-06
1.376436e-02,1.648195e-04,1.818770e-06
4.020952e-02,1.087012e-03,2.539902e-05
