R1,R2,R3,ETriat,E,ENew
2.813945,4.280900,2.226875,16.765324,2.392902,1.502042
2.226875,4.216733,2.793945,16.948179,2.393860,1.490936
2.793945,4.216733,2.226875,16.948179,2.393860,1.490936
2.228192,4.248925,2.799134,16.883065,2.392075,1.494746
2.799134,4.248925,2.228192,16.883065,2.392075,1.494746
2.238192,4.256948,2.799134,16.836703,2.393143,1.501114
2.799134,4.256948,2.238192,16.836703,2.393143,1.501114
2.218192,4.240911,2.799134,16.929496,2.393147,1.490441
2.799134,4.240911,2.218192,16.929496,2.393147,1.490441
2.228192,4.257724,2.809134,16.806754,2.392004,1.497888
2.809134,4.257724,2.228192,16.806754,2.392004,1.497888
2.228192,4.240132,2.789134,16.959725,2.392022,1.491457
2.789134,4.240132,2.228192,16.959725,2.392022,1.491457
2.228192,4.272004,2.799134,16.870152,2.393250,1.498718
2.799134,4.272004,2.228192,16.870152,2.393250,1.498718
3.036600,3.036600,3.036600,17.658935,6.808340,6.028206
3.036600,3.036600,3.036600,17.658935,6.808340,6.028206
3.046600,3.036600,3.041612,17.579548,6.817745,6.040161
3.041612,3.036600,3.046600,17.579548,6.817745,6.040161
3.026600,3.036600,3.031612,17.739252,6.799287,6.016589
3.031612,3.036600,3.026600,17.739252,6.799287,6.016589
3.036600,3.046600,3.041612,17.579548,6.817745,6.040161
3.041612,3.046600,3.036600,17.579548,6.817745,6.040161
3.036600,3.026600,3.031612,17.739252,6.799287,6.016589
3.031612,3.026600,3.036600,17.739252,6.799287,6.016589
3.036600,3.036600,3.059520,17.539092,6.823085,6.046819
3.059520,3.036600,3.036600,17.539092,6.823085,6.046819
3.036600,3.036600,3.013622,17.783463,6.794887,6.010796
3.013622,3.036600,3.036600,17.783463,6.794887,6.010796
2.784345,2.784342,2.803483,22.425259,6.721089,5.799105
2.803483,2.784342,2.784345,22.425259,6.721089,5.799105
2.794345,2.784342,2.808530,22.310639,6.713458,5.794738
2.808530,2.784342,2.794345,22.310639,6.713458,5.794738
2.774345,2.784342,2.798462,22.540951,6.729553,5.804280
2.798462,2.784342,2.774345,22.540951,6.729553,5.804280
