# R1,R2,R3,ETriat
5.000000,0.757419,5.757419,-1.188663
5.000000,0.807419,5.807419,-1.355715
5.200000,1.900284,3.299716,0.112521
5.200000,1.550284,3.649716,-0.368471
5.200000,1.300284,3.899716,-0.653070
5.200000,0.599716,5.799716,1.491396
5.200000,0.649716,5.849716,0.089303
5.200000,0.699716,5.899716,-0.691481
5.200000,0.799716,5.999716,-1.286793
5.200000,0.949716,6.149716,-1.368560
5.200000,1.099716,6.299716,-1.324290
5.200000,1.299716,6.499716,-1.272794
6.500000,2.800355,3.699645,-0.272482
6.500000,2.600355,3.899645,-0.439032
6.500000,2.400355,4.099645,-0.590762
6.500000,2.250355,4.249645,-0.687745
6.500000,2.000355,4.499645,-0.815860
6.500000,1.750355,4.749645,-0.905896
6.500000,1.500355,4.999645,-0.978787
6.500000,1.400355,5.099645,-1.035270
6.500000,1.250355,5.249645,-1.099636
6.500000,1.150355,5.349645,-1.132701
6.500000,0.699645,7.199645,0.991299
6.500000,0.849645,7.349645,0.383847
6.500000,0.949645,7.449645,0.410901
6.500000,1.099645,7.599645,0.503693
7.500000,3.238871,4.261129,-0.282760
7.500000,3.088871,4.411129,-0.374713
7.500000,2.938871,4.561129,-0.471205
7.500000,2.788871,4.711129,-0.565906
7.500000,2.538871,4.961129,-0.706507
7.500000,2.438871,5.061129,-0.718214
7.500000,2.288871,5.211129,-0.814096
7.500000,2.088871,5.411129,-0.867525
7.500000,1.988871,5.511129,-0.872559
7.500000,1.838871,5.661129,0.838932
7.500000,1.688871,5.811129,0.774465
7.500000,1.588871,5.911129,0.734441
7.500000,1.438871,6.061129,0.677081
7.500000,1.288871,6.211129,0.615735
7.500000,1.188871,6.311129,0.569020
7.500000,1.038871,6.461129,0.529701
7.500000,0.411129,7.911129,23.887437
7.500000,0.561129,8.061129,4.862042
9.000000,3.096645,5.903355,1.511480
9.000000,2.896645,6.103355,1.405004
9.000000,2.796645,6.203355,1.321528
9.000000,2.646645,6.353355,1.252125
9.000000,2.496645,6.503355,1.148881
9.000000,2.396645,6.603355,1.117557
9.000000,2.246645,6.753355,1.022890
9.000000,2.096645,6.903355,0.975298
9.000000,1.946645,7.053355,0.882248
9.000000,1.746645,7.253355,0.793492
9.000000,1.546645,7.453355,0.711821
9.000000,1.446645,7.553355,0.673424
