# R1,R2,R3,E
5.200000,1.550284,3.649716,-0.582202
5.200000,1.300284,3.899716,3.942996
5.200000,0.599716,5.799716,80.381070
5.200000,0.649716,5.849716,66.862750
5.200000,0.699716,5.899716,55.661740
5.200000,0.799716,5.999716,38.494790
5.200000,0.949716,6.149716,21.661130
5.200000,1.099716,6.299716,11.446890
5.200000,1.299716,6.499716,3.722366
6.500000,2.800355,3.699645,-1.812176
6.500000,2.600355,3.899645,-2.147013
6.500000,2.400355,4.099645,-2.503188
6.500000,2.250355,4.249645,-2.723726
6.500000,2.000355,4.499645,-2.824691
6.500000,1.750355,4.749645,-2.198089
6.500000,1.500355,4.999645,-0.029242
6.500000,1.400355,5.099645,1.573848
6.500000,1.250355,5.249645,5.341156
6.500000,1.150355,5.349645,9.145361
6.500000,0.699645,7.199645,57.381580
6.500000,0.849645,7.349645,33.684030
6.500000,0.949645,7.449645,23.465730
6.500000,1.099645,7.599645,13.295680
7.500000,3.238871,4.261129,-0.949833
7.500000,3.088871,4.411129,-1.146074
7.500000,2.938871,4.561129,-1.393521
7.500000,2.788871,4.711129,-1.679959
7.500000,2.538871,4.961129,-2.193645
7.500000,2.438871,5.061129,-2.353733
7.500000,2.288871,5.211129,-2.639944
7.500000,2.088871,5.411129,-2.805567
7.500000,1.988871,5.511129,-2.757303
7.500000,1.838871,5.661129,-0.740020
7.500000,1.688871,5.811129,-0.085438
7.500000,1.588871,5.911129,0.693697
7.500000,1.438871,6.061129,2.623547
7.500000,1.288871,6.211129,5.919660
7.500000,1.188871,6.311129,9.250401
7.500000,1.038871,6.461129,16.878680
7.500000,0.411129,7.911129,168.289200
7.500000,0.561129,8.061129,94.439280
9.000000,3.096645,5.903355,0.899010
9.000000,2.896645,6.103355,0.542344
9.000000,2.796645,6.203355,0.311934
9.000000,2.646645,6.353355,0.003766
9.000000,2.496645,6.503355,-0.343143
9.000000,2.396645,6.603355,-0.526157
9.000000,2.246645,6.753355,-0.803454
9.000000,2.096645,6.903355,-0.930434
9.000000,1.946645,7.053355,-0.921642
9.000000,1.746645,7.253355,-0.384878
9.000000,1.546645,7.453355,1.140454
9.000000,1.446645,7.553355,2.502021
9.000000,1.246645,7.753355,7.196701
9.000000,0.553355,9.553355,99.715680
9.000000,0.703355,9.703355,55.081100
9.000000,0.903355,9.903355,27.614610
9.000000,1.153355,10.153350,9.014965
9.000000,1.403355,10.403350,1.508091
9.000000,1.653355,10.653350,-1.622461
9.000000,1.903355,10.903350,-2.682999
9.000000,2.153355,11.153350,-2.756249
9.000000,2.453355,11.453350,-2.275747
9.000000,2.753355,11.753350,-1.596204
9.000000,3.053355,12.053350,-0.970300
9.000000,3.453355,12.453350,-0.395087
9.000000,3.853355,12.853350,-0.151755
9.000000,4.153355,13.153350,-0.064734
9.000000,4.653355,13.653350,0.003521
2.000000,0.762619,2.713683,34.397380
2.000000,0.957768,2.913358,11.477730
2.000000,1.154579,3.113074,-0.531468
2.000000,1.352325,3.312825,-6.809103
2.000000,1.749356,3.712407,-11.414390
2.000000,2.147490,4.112070,-11.793110
2.000000,2.945274,4.911561,-9.628256
2.400000,0.572979,2.897126,79.236830
2.400000,0.761041,3.096713,34.961950
4.000000,1.525238,5.427366,0.824682
4.000000,1.719830,5.627029,-3.533245
4.000000,1.915536,5.826715,-4.203308
4.000000,2.161275,6.076352,-4.264714
4.000000,2.407891,6.326018,-3.895627
4.000000,2.902861,6.825423,-2.766700
4.000000,3.399303,7.324909,-1.748187
4.000000,3.896655,7.824460,-1.087408
4.000000,4.892979,8.823716,-0.848528
4.000000,5.391651,9.323403,-0.887813
4.000000,5.890549,9.823123,-0.907758
4.000000,6.888823,10.822640,-0.919399
4.500000,1.284384,5.656634,4.853117
4.500000,1.474802,5.856241,-0.308561
4.500000,1.667464,6.055874,-2.342766
4.500000,1.910415,6.305448,-3.327395
4.500000,2.154978,6.555055,-3.401199
4.500000,2.647154,7.054351,-2.514004
4.500000,3.141802,7.553741,-1.440478
4.500000,3.637913,8.053206,-0.705143
4.500000,4.632645,9.052314,-0.249160
4.500000,5.130779,9.551938,-0.298635
4.500000,5.629244,10.051600,-0.335527
4.500000,6.626867,11.051010,-0.361351
5.000000,1.057325,5.886018,14.231040
5.000000,1.239865,6.085569,5.441534
5.000000,1.427094,6.285149,0.822669
5.000000,1.665311,6.534660,-1.967464
5.000000,1.906547,6.784207,-2.959764
5.000000,2.394420,7.283394,-2.701207
5.000000,2.886447,7.782686,-1.643455
5.000000,3.380813,8.282062,-0.776589
5.000000,4.373391,9.281018,-0.153370
5.000000,4.870819,9.780575,-0.093986
5.000000,5.368724,10.280180,-0.102979
