# R1,R2,R3
9.000000,1.153355,10.153350
9.000000,1.403355,10.403350
9.000000,1.653355,10.653350
9.000000,1.903355,10.903350
9.000000,2.153355,11.153350
9.000000,2.453355,11.453350
9.000000,2.753355,11.753350
9.000000,3.053355,12.053350
9.000000,3.453355,12.453350
9.000000,3.853355,12.853350
9.000000,4.153355,13.153350
9.000000,4.653355,13.653350
2.000000,0.762619,2.713683
2.000000,0.957768,2.913358
2.000000,1.154579,3.113074
2.000000,1.352325,3.312825
2.000000,1.749356,3.712407
2.000000,2.147490,4.112070
2.000000,2.945274,4.911561
2.400000,0.572979,2.897126
2.400000,0.761041,3.096713
4.000000,1.525238,5.427366
4.000000,1.719830,5.627029
4.000000,1.915536,5.826715
4.000000,2.161275,6.076352
4.000000,2.407891,6.326018
4.000000,2.902861,6.825423
4.000000,3.399303,7.324909
4.000000,3.896655,7.824460
4.000000,4.892979,8.823716
4.000000,5.391651,9.323403
4.000000,5.890549,9.823123
4.000000,6.888823,10.822640
4.500000,1.284384,5.656634
4.500000,1.474802,5.856241
4.500000,1.667464,6.055874
4.500000,1.910415,6.305448
4.500000,2.154978,6.555055
4.500000,2.647154,7.054351
4.500000,3.141802,7.553741
4.500000,3.637913,8.053206
4.500000,4.632645,9.052314
4.500000,5.130779,9.551938
4.500000,5.629244,10.051600
4.500000,6.626867,11.051010
5.000000,1.057325,5.886018
5.000000,1.239865,6.085569
5.000000,1.427094,6.285149
5.000000,1.665311,6.534660
5.000000,1.906547,6.784207
5.000000,2.394420,7.283394
5.000000,2.886447,7.782686
5.000000,3.380813,8.282062
5.000000,4.373391,9.281018
5.000000,4.870819,9.780575
5.000000,5.368724,10.280180
5.000000,6.365521,11.279480
3.200000,0.856877,3.962619
3.200000,1.336850,4.461689
3.200000,1.729020,4.861082
3.200000,2.124112,5.260567
3.200000,2.520753,5.660125
3.200000,3.117324,6.259568
3.200000,3.715000,6.859109
3.200000,4.313321,7.458723
3.200000,4.812241,7.958446
3.200000,5.311365,8.458201
3.200000,5.810639,8.957984
3.200000,6.310028,9.457790
3.200000,7.309057,10.457460
3.800000,2.510008,6.234438
3.800000,3.005806,6.733886
3.800000,3.502799,7.233410
3.800000,4.000541,7.732995
3.800000,4.299437,8.032771
3.800000,4.797905,8.532433
3.800000,4.997377,8.732308
3.800000,5.496227,9.232021
3.800000,5.995268,9.731763
3.800000,6.993761,10.731320
4.500000,0.743943,5.057999
4.500000,1.861675,6.255531
4.500000,2.647154,7.054351
4.500000,3.637913,8.053206
4.500000,4.632645,9.052314
4.500000,5.629244,10.051600
4.500000,6.626867,11.051010
5.200000,1.522026,6.576474
5.200000,2.294380,7.375041
5.200000,3.278520,8.373634
5.200000,4.270037,9.372527
5.200000,5.264763,10.371630
5.200000,6.261170,11.370900
6.000000,0.589857,5.746986
6.000000,1.162372,6.943505
6.000000,1.902602,7.741783
6.000000,2.873304,8.740073
6.000000,3.858997,9.738714
6.000000,4.850551,10.737610
6.000000,5.844983,11.736690
9.000000,6.283603,15.107480
9.000000,7.275826,16.106410
6.500000,1.437639,7.721663
6.500000,1.667549,7.971111
6.500000,2.140921,8.470105
6.500000,2.624189,8.969212
6.500000,2.916858,9.268722
6.500000,3.407475,9.767972
6.500000,3.604443,9.967693
6.500000,4.098150,10.467040
6.500000,4.593219,10.966450
6.500000,5.585992,11.965420
6.500000,6.580954,12.964540
6.500000,7.577242,13.963790
7.500000,1.043370,8.180655
7.500000,1.239905,8.429999
7.500000,1.676262,8.928798
7.500000,2.140641,9.427724
7.500000,2.426074,9.727132
7.500000,2.908320,10.226220
7.500000,3.102792,10.425880
7.500000,3.591630,10.925090
7.500000,4.083172,11.424370
7.500000,5.071220,12.423090
7.500000,6.063188,13.422010
7.500000,7.057424,14.421080
1.400000,1.115242,2.488792
1.400000,1.164911,2.538742
1.400000,1.264328,2.638648
1.400000,1.463399,2.838480
1.400000,1.662693,3.038334
1.400000,2.061692,3.438093
1.400000,2.461016,3.837902
1.400000,2.860529,4.237747
1.400000,3.260161,4.637619
1.400000,3.759811,5.137487
1.400000,4.259544,5.637379
1.400000,4.759332,6.137288
1.400000,5.259161,6.637210
1.400000,5.759019,7.137144
1.400000,6.258901,7.637086
1.400000,8.258569,9.636915
1.500000,1.063786,2.534561
1.500000,1.113369,2.584506
1.500000,1.212638,2.684402
1.500000,1.411485,2.884215
1.500000,1.610617,3.084053
1.500000,2.009400,3.483784
1.500000,2.408586,3.883570
1.500000,2.808003,4.283396
1.500000,3.207566,4.683252
1.500000,3.707152,5.183103
1.500000,4.206837,5.682981
1.500000,4.706588,6.182878
1.500000,5.206388,6.682791
1.500000,5.706222,7.182715
1.500000,6.206083,7.682650
1.500000,8.205697,9.682456
1.600000,1.012579,2.580344
1.600000,1.062056,2.630284
1.600000,1.161144,2.730169
1.600000,1.359721,2.929963
1.600000,1.558662,3.129784
1.600000,1.957192,3.529486
1.600000,2.356219,3.929249
1.600000,2.755529,4.329056
1.600000,3.155014,4.728895
1.600000,3.654528,5.228729
1.600000,4.154160,5.728592
1.600000,4.653870,6.228477
1.600000,5.153637,6.728378
1.600000,5.653444,7.228294
1.600000,6.153284,7.728220
1.600000,8.152837,9.728002
1.700000,0.961661,2.626140
1.700000,1.011007,2.676074
1.700000,1.109875,2.775949
1.700000,1.308126,2.975724
1.700000,1.506840,3.175527
1.700000,1.905075,3.575200
1.700000,2.303922,3.974939
1.700000,2.703109,4.374726
1.700000,3.102506,4.774548
1.700000,3.601941,5.274364
1.700000,4.101513,5.774211
1.700000,4.601178,6.274083
1.700000,5.100909,6.773974
1.700000,5.600687,7.273880
1.700000,6.100502,7.773798
1.700000,8.099991,9.773553
1.800000,0.837487,2.597060
1.800000,0.813012,2.572099
1.800000,0.788571,2.547139
1.800000,0.764166,2.522179
1.800000,0.739800,2.497221
1.800000,0.715479,2.472263
1.800000,0.691205,2.447306
1.800000,0.666986,2.422350
2.000000,0.738408,2.688727
2.000000,0.714251,2.663772
2.000000,0.690154,2.638817
2.000000,0.666124,2.613864
2.000000,0.642168,2.588912
2.000000,0.618295,2.563960
2.000000,0.594514,2.539009
2.000000,0.570837,2.514060
2.400000,0.550064,2.872181
2.400000,0.527338,2.847238
2.800000,0.390760,3.055773
2.800000,0.372579,3.030841
3.200000,1.239589,4.361858
3.200000,1.233906,1.971066
3.200000,1.137150,2.070256
3.200000,1.041007,2.169522
3.200000,0.945665,2.268852
3.200000,1.233906,1.971066
3.200000,0.851391,2.368238
3.200000,0.758586,2.467674
3.800000,1.556381,2.247720
3.800000,1.459201,2.346837
3.800000,1.362429,2.446026
3.800000,1.266159,2.545279
3.800000,1.556381,2.247720
3.800000,1.170514,2.644588
3.800000,1.075662,2.743947
4.000000,1.663927,2.339951
4.000000,1.566648,2.439047
4.000000,1.469734,2.538213
4.000000,1.373263,2.637443
4.000000,1.663927,2.339951
4.000000,1.277334,2.736729
4.000000,1.182081,2.836064
4.500000,1.932870,2.570548
4.500000,1.835397,2.669596
4.500000,1.738212,2.768712
4.500000,1.641366,2.867890
4.500000,1.932870,2.570548
4.500000,1.544921,2.967123
4.500000,1.448958,3.066406
5.000000,2.153056,2.850664
5.000000,2.104277,2.900176
5.000000,2.055557,2.949705
5.000000,2.006900,2.999249
5.000000,1.958310,3.048808
5.000000,1.909794,3.098381
5.000000,1.813002,3.197568
5.000000,1.716578,3.296804
5.000000,1.477601,3.545080
5.000000,1.242967,3.793584
5.500000,2.470961,3.031809
5.500000,2.422078,3.081286
5.500000,2.373242,3.130780
5.500000,2.324456,3.180290
5.500000,2.275722,3.229815
5.500000,2.227044,3.279354
5.500000,2.178426,3.328907
5.500000,2.081387,3.428053
5.500000,1.984642,3.527246
5.500000,1.744386,3.775416
5.500000,1.507303,4.023812
6.000000,2.740069,3.262463
6.000000,2.691148,3.311925
6.000000,2.642267,3.361403
6.000000,2.593429,3.410896
6.000000,2.544636,3.460404
6.000000,2.495891,3.509926
6.000000,2.447197,3.559461
6.000000,2.349972,3.658570
6.000000,2.252991,3.757725
6.000000,2.011831,4.005798
6.000000,1.773121,4.254097
9.000000,4.355107,4.646570
9.000000,4.306060,4.695971
9.000000,4.257036,4.745384
9.000000,4.208034,4.794809
9.000000,4.159056,4.844246
9.000000,4.110103,4.893694
9.000000,4.061175,4.943154
9.000000,3.963401,5.042105
9.000000,3.865739,5.141096
9.000000,3.622145,5.388738
9.000000,3.379486,5.636588
2.000000,3.144896,5.111459
2.000000,3.744004,5.711195
2.000000,4.343359,6.310981
2.000000,4.942870,6.910805
2.000000,5.442545,7.410679
2.000000,5.942274,7.910570
2.000000,6.442046,8.410473
2.000000,6.941850,8.910387
2.000000,7.941533,9.910242
2.000000,8.941287,10.910120
2.000000,9.941090,11.910020
1.800000,2.052311,3.820775
1.800000,2.451183,4.220517
1.800000,2.850372,4.620303
1.800000,3.249759,5.020124
1.800000,3.849079,5.619903
1.800000,4.448583,6.219724
1.800000,5.048204,6.819577
1.800000,5.547951,7.319473
1.800000,6.047740,7.819382
1.800000,6.547561,8.319302
1.800000,7.047408,8.819231
1.800000,8.047158,9.819111
