# R1,R2,R3,EDiat
5.200000,1.550284,3.649716,-0.213731
5.200000,1.300284,3.899716,4.596066
5.200000,0.599716,5.799716,78.889674
5.200000,0.649716,5.849716,66.773447
5.200000,0.699716,5.899716,56.353221
5.200000,0.799716,5.999716,39.781583
5.200000,0.949716,6.149716,23.029690
5.200000,1.099716,6.299716,12.771180
5.200000,1.299716,6.499716,4.995160
6.500000,2.800355,3.699645,-1.539694
6.500000,2.600355,3.899645,-1.707981
6.500000,2.400355,4.099645,-1.912426
6.500000,2.250355,4.249645,-2.035981
6.500000,2.000355,4.499645,-2.008831
6.500000,1.750355,4.749645,-1.292193
6.500000,1.500355,4.999645,0.949545
6.500000,1.400355,5.099645,2.609118
6.500000,1.250355,5.249645,6.440792
6.500000,1.150355,5.349645,10.278062
6.500000,0.699645,7.199645,56.390281
6.500000,0.849645,7.349645,33.300183
6.500000,0.949645,7.449645,23.054829
6.500000,1.099645,7.599645,12.791987
7.500000,3.238871,4.261129,-0.667073
7.500000,3.088871,4.411129,-0.771361
7.500000,2.938871,4.561129,-0.922316
7.500000,2.788871,4.711129,-1.114053
7.500000,2.538871,4.961129,-1.487138
7.500000,2.438871,5.061129,-1.635519
7.500000,2.288871,5.211129,-1.825848
7.500000,2.088871,5.411129,-1.938042
7.500000,1.988871,5.511129,-1.884744
7.500000,1.838871,5.661129,-1.578952
7.500000,1.688871,5.811129,-0.859903
7.500000,1.588871,5.911129,-0.040744
7.500000,1.438871,6.061129,1.946466
7.500000,1.288871,6.211129,5.303925
7.500000,1.188871,6.311129,8.681381
7.500000,1.038871,6.461129,16.348979
7.500000,0.411129,7.911129,144.401763
7.500000,0.561129,8.061129,89.577238
9.000000,3.096645,5.903355,-0.612471
9.000000,2.896645,6.103355,-0.862660
9.000000,2.796645,6.203355,-1.009594
9.000000,2.646645,6.353355,-1.248359
9.000000,2.496645,6.503355,-1.492024
9.000000,2.396645,6.603355,-1.643713
9.000000,2.246645,6.753355,-1.826344
9.000000,2.096645,6.903355,-1.905731
9.000000,1.946645,7.053355,-1.803890
9.000000,1.746645,7.253355,-1.178369
9.000000,1.546645,7.453355,0.428633
9.000000,1.446645,7.553355,1.828597
9.000000,1.246645,7.753355,6.606386
9.000000,0.553355,9.553355,91.876632
9.000000,0.703355,9.703355,55.682582
9.000000,0.903355,9.903355,27.387491
9.000000,1.153355,10.153350,10.183736
9.000000,1.403355,10.403350,2.608056
9.000000,1.653355,10.653350,-0.586127
9.000000,1.903355,10.903350,-1.722584
9.000000,2.153355,11.153350,-1.887762
9.000000,2.453355,11.453350,-1.552746
9.000000,2.753355,11.753350,-1.066320
9.000000,3.053355,12.053350,-0.645163
9.000000,3.453355,12.453350,-0.295408
9.000000,3.853355,12.853350,-0.137001
9.000000,4.153355,13.153350,-0.083854
9.000000,4.653355,13.653350,-0.045200
2.000000,0.762619,2.713683,36.666463
2.000000,0.957768,2.913358,14.104602
2.000000,1.154579,3.113074,2.251939
2.000000,1.352325,3.312825,-3.867963
2.000000,1.749356,3.712407,-8.279640
2.000000,2.147490,4.112070,-8.719233
2.000000,2.945274,4.911561,-7.412841
2.400000,0.572979,2.897126,77.253841
2.400000,0.761041,3.096713,37.071269
4.000000,1.525238,5.427366,0.264416
4.000000,1.719830,5.627029,-1.446190
4.000000,1.915536,5.826715,-2.156631
4.000000,2.161275,6.076352,-2.287726
4.000000,2.407891,6.326018,-2.020797
4.000000,2.902861,6.825423,-1.235971
4.000000,3.399303,7.324909,-0.721825
4.000000,3.896655,7.824460,-0.518390
4.000000,4.892979,8.823716,-0.426788
4.000000,5.391651,9.323403,-0.415537
4.000000,5.890549,9.823123,-0.409179
4.000000,6.888823,10.822640,-0.402319
4.500000,1.284384,5.656634,5.347909
4.500000,1.474802,5.856241,1.293075
4.500000,1.667464,6.055874,-0.777509
4.500000,1.910415,6.305448,-1.819380
4.500000,2.154978,6.555055,-1.966431
4.500000,2.647154,7.054351,-1.314557
4.500000,3.141802,7.553741,-0.621005
4.500000,3.637913,8.053206,-0.278453
4.500000,4.632645,9.052314,-0.119048
4.500000,5.130779,9.551938,-0.102737
4.500000,5.629244,10.051600,-0.094405
4.500000,6.626867,11.051010,-0.085958
5.000000,1.057325,5.886018,15.165833
5.000000,1.239865,6.085569,6.802160
5.000000,1.427094,6.285149,2.140233
5.000000,1.665311,6.534660,-0.699346
5.000000,1.906547,6.784207,-1.751031
5.000000,2.394420,7.283394,-1.659981
5.000000,2.886447,7.782686,-0.882553
5.000000,3.380813,8.282062,-0.359176
5.000000,4.373391,9.281018,-0.079143
5.000000,4.870819,9.780575,-0.053880
5.000000,5.368724,10.280180,-0.042406
5.000000,6.365521,11.279480,-0.031821
3.200000,0.856877,3.962619,29.153099
3.200000,1.336850,4.461689,0.959114
3.200000,1.729020,4.861082,-4.104102
3.200000,2.124112,5.260567,-4.882828
3.200000,2.520753,5.660125,-4.411564
3.200000,3.117324,6.259568,-3.524090
3.200000,3.715000,6.859109,-3.122286
3.200000,4.313321,7.458723,-3.010062
3.200000,4.812241,7.958446,-2.980896
3.200000,5.311365,8.458201,-2.968008
3.200000,5.810639,8.957984,-2.960958
3.200000,6.310028,9.457790,-2.956514
3.200000,7.309057,10.457460,-2.951507
3.800000,2.510008,6.234438,-2.212187
3.800000,3.005806,6.733886,-1.446651
3.800000,3.502799,7.233410,-1.008314
3.800000,4.000541,7.732995,-0.845879
3.800000,4.299437,8.032771,-0.807271
3.800000,4.797905,8.532433,-0.777898
3.800000,4.997377,8.732308,-0.771645
3.800000,5.496227,9.232021,-0.761772
3.800000,5.995268,9.731763,-0.756002
3.800000,6.993761,10.731320,-0.749670
4.500000,0.743943,5.057999,48.274920
4.500000,1.861675,6.255531,-1.704084
4.500000,2.647154,7.054351,-1.314557
4.500000,3.637913,8.053206,-0.278453
4.500000,4.632645,9.052314,-0.119048
4.500000,5.629244,10.051600,-0.094405
4.500000,6.626867,11.051010,-0.085958
5.200000,1.522026,6.576474,0.712748
5.200000,2.294380,7.375041,-1.783420
5.200000,3.278520,8.373634,-0.429756
5.200000,4.270037,9.372527,-0.081467
5.200000,5.264763,10.371630,-0.037575
5.200000,6.261170,11.370900,-0.025905
6.000000,0.589857,5.746986,81.505697
6.000000,1.162372,6.943505,9.782488
6.000000,1.902602,7.741783,-1.724416
6.000000,2.873304,8.740073,-0.885919
6.000000,3.858997,9.738714,-0.137902
6.000000,4.850551,10.737610,-0.039734
6.000000,5.844983,11.736690,-0.021419
9.000000,6.283603,15.107480,-0.015428
9.000000,7.275826,16.106410,-0.010424
6.500000,1.437639,7.721663,1.979835
6.500000,1.667549,7.971111,-0.694027
6.500000,2.140921,8.470105,-1.894591
6.500000,2.624189,8.969212,-1.278054
6.500000,2.916858,9.268722,-0.822944
6.500000,3.407475,9.767972,-0.325349
6.500000,3.604443,9.967693,-0.220270
6.500000,4.098150,10.467040,-0.092584
6.500000,4.593219,10.966450,-0.049538
6.500000,5.585992,11.965420,-0.023640
6.500000,6.580954,12.964540,-0.014928
6.500000,7.577242,13.963790,-0.010939
7.500000,1.043370,8.180655,16.067279
7.500000,1.239905,8.429999,6.829121
7.500000,1.676262,8.928798,-0.755090
7.500000,2.140641,9.427724,-1.894282
7.500000,2.426074,9.727132,-1.595607
7.500000,2.908320,10.226220,-0.834709
7.500000,3.102792,10.425880,-0.589927
7.500000,3.591630,10.925090,-0.225723
7.500000,4.083172,11.424370,-0.094620
7.500000,5.071220,12.423090,-0.032650
7.500000,6.063188,13.422010,-0.018492
7.500000,7.057424,14.421080,-0.012553
1.400000,1.115242,2.488792,31.021763
1.400000,1.164911,2.538742,28.824932
1.400000,1.264328,2.638648,25.417873
1.400000,1.463399,2.838480,21.376601
1.400000,1.662693,3.038334,19.563454
1.400000,2.061692,3.438093,18.951689
1.400000,2.461016,3.837902,19.703136
1.400000,2.860529,4.237747,20.554238
1.400000,3.260161,4.637619,21.128228
1.400000,3.759811,5.137487,21.462263
1.400000,4.259544,5.637379,21.580345
1.400000,4.759332,6.137288,21.624584
1.400000,5.259161,6.637210,21.644224
1.400000,5.759019,7.137144,21.654475
1.400000,6.258901,7.637086,21.660494
1.400000,8.258569,9.636915,21.669296
1.500000,1.063786,2.534561,24.171776
1.500000,1.113369,2.584506,21.557752
1.500000,1.212638,2.684402,17.487959
1.500000,1.411485,2.884215,12.591262
1.500000,1.610617,3.084053,10.299657
1.500000,2.009400,3.483784,9.259199
1.500000,2.408586,3.883570,9.880370
1.500000,2.808003,4.283396,10.715999
1.500000,3.207566,4.683252,11.313578
1.500000,3.707152,5.183103,11.673310
1.500000,4.206837,5.682981,11.800908
1.500000,4.706588,6.182878,11.847704
1.500000,5.206388,6.682791,11.868036
1.500000,5.706222,7.182715,11.878515
1.500000,6.206083,7.682650,11.884647
1.500000,8.205697,9.682456,11.893680
1.600000,1.012579,2.580344,20.675132
1.600000,1.062056,2.630284,17.570554
1.600000,1.161144,2.730169,12.723466
1.600000,1.359721,2.929963,6.828757
1.600000,1.558662,3.129784,3.981258
1.600000,1.957192,3.529486,2.445567
1.600000,2.356219,3.929249,2.913898
1.600000,2.755529,4.329056,3.726582
1.600000,3.155014,4.728895,4.347045
1.600000,3.654528,5.228729,4.734985
1.600000,4.154160,5.728592,4.873703
1.600000,4.653870,6.228477,4.923576
1.600000,5.153637,6.728378,4.944754
1.600000,5.653444,7.228294,4.955514
1.600000,6.153284,7.728220,4.961777
1.600000,8.152837,9.728002,4.971059
1.700000,0.961661,2.626140,19.862091
1.700000,1.011007,2.676074,16.182008
1.700000,1.109875,2.775949,10.422998
1.700000,1.308126,2.975724,3.364110
1.700000,1.506840,3.175527,-0.128901
1.700000,1.905075,3.575200,-2.236484
1.700000,2.303922,3.974939,-1.946721
1.700000,2.703109,4.374726,-1.165759
1.700000,3.102506,4.774548,-0.523893
1.700000,3.601941,5.274364,-0.105414
1.700000,4.101513,5.774211,0.046161
1.700000,4.601178,6.274083,0.099691
1.700000,5.100909,6.773974,0.121887
1.700000,5.600687,7.273880,0.132982
1.700000,6.100502,7.773798,0.139397
1.700000,8.099991,9.773553,0.148947
1.800000,0.837487,2.597060,29.276575
1.800000,0.813012,2.572099,32.399142
1.800000,0.788571,2.547139,35.776533
1.800000,0.764166,2.522179,39.426153
1.800000,0.739800,2.497221,43.365946
1.800000,0.715479,2.472263,47.614371
1.800000,0.691205,2.447306,52.190409
1.800000,0.666986,2.422350,57.113509
2.000000,0.738408,2.688727,40.599382
2.000000,0.714251,2.663772,44.835497
2.000000,0.690154,2.638817,49.392724
2.000000,0.666124,2.613864,54.289297
2.000000,0.642168,2.588912,59.543655
2.000000,0.618295,2.563960,65.174391
2.000000,0.594514,2.539009,71.200059
2.000000,0.570837,2.514060,77.638988
2.400000,0.550064,2.872181,83.890556
2.400000,0.527338,2.847238,90.926922
2.800000,0.390760,3.055773,147.256857
2.800000,0.372579,3.030841,156.086396
3.200000,1.239589,4.361858,3.720374
3.200000,1.233906,1.971066,0.647354
3.200000,1.137150,2.070256,4.587153
3.200000,1.041007,2.169522,10.003425
3.200000,0.945665,2.268852,17.356647
3.200000,1.233906,1.971066,0.647354
3.200000,0.851391,2.368238,27.245320
3.200000,0.758586,2.467674,40.367373
3.800000,1.556381,2.247720,-3.564898
3.800000,1.459201,2.346837,-2.065364
3.800000,1.362429,2.446026,-0.019879
3.800000,1.266159,2.545279,2.733082
3.800000,1.556381,2.247720,-3.564898
3.800000,1.170514,2.644588,6.412431
3.800000,1.075662,2.743947,11.312007
4.000000,1.663927,2.339951,-4.022876
4.000000,1.566648,2.439047,-2.938881
4.000000,1.469734,2.538213,-1.462411
4.000000,1.373263,2.637443,0.523976
4.000000,1.663927,2.339951,-4.022876
4.000000,1.277334,2.736729,3.177932
4.000000,1.182081,2.836064,6.708283
4.500000,1.932870,2.570548,-4.310894
4.500000,1.835397,2.669596,-3.849050
4.500000,1.738212,2.768712,-3.216761
4.500000,1.641366,2.867890,-2.362580
4.500000,1.932870,2.570548,-4.310894
4.500000,1.544921,2.967123,-1.217216
4.500000,1.448958,3.066406,0.313488
5.000000,2.153056,2.850664,-3.739194
5.000000,2.104277,2.900176,-3.648646
5.000000,2.055557,2.949705,-3.542748
5.000000,2.006900,2.999249,-3.418524
5.000000,1.958310,3.048808,-3.272481
5.000000,1.909794,3.098381,-3.100566
5.000000,1.813002,3.197568,-2.659814
5.000000,1.716578,3.296804,-2.051190
5.000000,1.477601,3.545080,0.624540
5.000000,1.242967,3.793584,6.245037
5.500000,2.470961,3.031809,-3.000753
5.500000,2.422078,3.081286,-2.984002
5.500000,2.373242,3.130780,-2.966428
5.500000,2.324456,3.180290,-2.946596
5.500000,2.275722,3.229815,-2.922854
5.500000,2.227044,3.279354,-2.893316
5.500000,2.178426,3.328907,-2.855858
5.500000,2.081387,3.428053,-2.747403
5.500000,1.984642,3.527246,-2.574816
5.500000,1.744386,3.775416,-1.650794
5.500000,1.507303,4.023812,0.599496
6.000000,2.740069,3.262463,-2.164416
6.000000,2.691148,3.311925,-2.169169
6.000000,2.642267,3.361403,-2.178807
6.000000,2.593429,3.410896,-2.192565
6.000000,2.544636,3.460404,-2.209563
6.000000,2.495891,3.509926,-2.228800
6.000000,2.447197,3.559461,-2.249140
6.000000,2.349972,3.658570,-2.287787
6.000000,2.252991,3.757725,-2.312918
6.000000,2.011831,4.005798,-2.202065
6.000000,1.773121,4.254097,-1.520210
9.000000,4.355107,4.646570,-0.176756
9.000000,4.306060,4.695971,-0.172357
9.000000,4.257036,4.745384,-0.169099
9.000000,4.208034,4.794809,-0.166980
9.000000,4.159056,4.844246,-0.166008
9.000000,4.110103,4.893694,-0.166206
9.000000,4.061175,4.943154,-0.167612
9.000000,3.963401,5.042105,-0.174257
9.000000,3.865739,5.141096,-0.186515
9.000000,3.622145,5.388738,-0.247587
9.000000,3.379486,5.636588,-0.367714
2.000000,3.144896,5.111459,-7.154245
2.000000,3.744004,5.711195,-6.745779
2.000000,4.343359,6.310981,-6.629834
2.000000,4.942870,6.910805,-6.594576
2.000000,5.442545,7.410679,-6.582088
2.000000,5.942274,7.910570,-6.575079
2.000000,6.442046,8.410473,-6.570685
2.000000,6.941850,8.910387,-6.567792
2.000000,7.941533,9.910242,-6.564608
2.000000,8.941287,10.910120,-6.563281
2.000000,9.941090,11.910020,-6.562766
1.800000,2.052311,3.820775,-5.457676
1.800000,2.451183,4.220517,-4.900343
1.800000,2.850372,4.620303,-4.151808
1.800000,3.249759,5.020124,-3.623131
1.800000,3.849079,5.619903,-3.280417
1.800000,4.448583,6.219724,-3.184029
1.800000,5.048204,6.819577,-3.153073
1.800000,5.547951,7.319473,-3.141582
1.800000,6.047740,7.819382,-3.134993
1.800000,6.547561,8.319302,-3.130840
1.800000,7.047408,8.819231,-3.128118
1.800000,8.047158,9.819111,-3.125156
1.800000,9.046963,10.819010,-3.123939
1.800000,10.046810,11.818930,-3.123472
2.400000,1.096027,1.304985,7.732990
2.400000,0.901196,1.503090,18.946697
2.400000,0.953972,3.296350,14.476783
2.400000,1.149322,3.496029,2.421644
2.400000,1.741716,4.095254,-8.617233
2.400000,2.736415,5.094367,-8.335452
2.400000,3.234991,5.594042,-7.669029
2.400000,3.733947,6.093771,-7.369319
2.400000,4.233150,6.593541,-7.266888
2.400000,4.732521,7.093343,-7.230710
2.400000,5.032203,7.393237,-7.220094
2.400000,5.531751,7.893078,-7.209735
2.400000,5.731592,8.093021,-7.206976
2.400000,6.231239,8.592888,-7.201963
2.400000,6.730939,9.092769,-7.198664
2.400000,7.730455,10.092570,-7.194972
1.800000,1.058862,2.821740,10.094105
1.800000,1.256721,3.021496,1.676682
1.800000,1.504841,3.271233,-3.222985
1.800000,1.653984,3.421093,-4.557389
1.800000,1.803270,3.570966,-5.217320
1.800000,1.952666,3.720848,-5.452794
1.800000,2.151990,3.920706,-5.382133
1.800000,2.351430,4.120577,-5.086002
3.800000,1.624079,5.335694,-1.125367
3.800000,0.771442,4.437458,43.080019
3.800000,0.953422,4.637007,21.879820
3.800000,1.141449,4.836593,9.901745
3.800000,1.332965,5.036212,3.348153
3.800000,1.624079,5.335694,-1.125367
3.800000,1.917934,5.635231,-2.515156
4.000000,1.087680,2.935445,11.392809
4.000000,0.994374,3.034867,17.600120
4.000000,0.774915,4.629003,42.937653
4.000000,0.863843,4.728768,31.148288
4.000000,1.047707,4.928327,15.331878
4.000000,1.236590,5.127920,6.498656
4.000000,1.428502,5.327543,1.711983
4.000000,1.622369,5.527194,-0.753101
4.500000,1.258918,3.265103,5.070119
4.500000,1.026705,3.513682,16.351421
4.500000,0.936387,3.613168,23.530926
4.500000,1.005757,5.357279,18.508442
4.500000,1.097381,5.457056,12.809919
4.500000,1.237252,5.606737,6.821211
4.500000,1.379254,5.756434,3.000495
5.000000,0.799337,5.586751,39.816166
5.000000,0.882386,5.686498,29.534702
5.000000,0.925169,5.736375,25.226756
5.000000,0.968644,5.786254,21.425624
5.200000,2.114415,3.091472,-3.270263
5.200000,1.920327,3.289757,-2.799906
5.200000,1.727588,3.488239,-1.850776
5.200000,1.584215,3.637208,-0.590528
5.200000,1.348468,3.885668,3.366091
5.200000,1.118926,4.134313,11.531089
5.200000,0.805574,5.778304,38.957982
5.200000,0.845976,5.828175,33.717537
5.200000,0.887356,5.878048,29.014935
5.200000,0.972550,5.977801,21.121326
5.200000,1.105002,6.127445,12.490783
5.200000,1.241454,6.277106,6.758861
5.200000,1.427624,6.476678,2.139806
6.500000,2.813616,3.691013,-1.527148
6.500000,2.618695,3.889114,-1.684701
6.500000,2.424602,4.087399,-1.882558
6.500000,2.279702,4.236220,-2.010633
6.500000,2.039842,4.484428,-2.038505
6.500000,1.802738,4.732825,-1.526545
6.500000,1.569642,4.981382,0.106427
6.500000,1.477952,5.080845,1.277907
6.500000,1.342643,5.230077,3.866462
6.500000,1.254294,5.329589,6.319142
6.500000,0.967575,7.173011,21.545764
6.500000,1.088369,7.322623,13.400023
6.500000,1.172652,7.422374,9.348570
6.500000,1.303250,7.572011,4.913187
7.500000,3.253991,4.251246,-0.657340
7.500000,3.107685,4.399790,-0.753561
7.500000,2.961748,4.548430,-0.894244
7.500000,2.816239,4.697157,-1.074233
7.500000,2.574868,4.945205,-1.429914
7.500000,2.478798,5.044479,-1.575224
7.500000,2.335313,5.193441,-1.771044
7.500000,2.145387,5.392147,-1.928442
7.500000,2.051141,5.491535,-1.927003
7.500000,1.910871,5.640658,-1.764352
7.500000,1.772195,5.789826,-1.320055
7.500000,1.680825,5.889295,-0.803772
7.500000,1.545775,6.038531,0.425226
7.500000,1.413742,6.187804,2.397970
7.500000,1.327842,6.287339,4.263794
7.500000,1.203083,6.436668,8.132944
7.500000,0.845652,7.881496,33.783919
7.500000,0.937749,8.031068,24.106699
2.000000,0.809196,2.702098,29.773951
2.000000,0.999332,2.901369,10.802989
2.000000,1.192700,3.100734,0.642104
2.000000,1.387948,3.300175,-4.659395
2.000000,1.781609,3.699239,-8.441835
2.000000,2.177583,4.098486,-8.710513
2.000000,2.972765,4.897348,-7.377891
2.400000,0.645103,2.884103,58.896061
4.000000,1.807465,5.603442,-1.861224
4.000000,1.998665,5.802738,-2.272501
4.000000,2.239828,6.051925,-2.231820
4.000000,2.482739,6.301175,-1.906877
4.000000,2.972092,6.799842,-1.141737
4.000000,3.464486,7.298690,-0.681585
4.000000,3.958787,7.797687,-0.505613
4.000000,4.950824,8.796021,-0.425087
4.000000,5.447935,9.295323,-0.414664
4.000000,5.945530,9.794696,-0.408650
4.000000,6.941757,10.793620,-0.402084
4.500000,1.588330,5.830742,-0.108830
4.500000,1.773836,6.029919,-1.392895
4.500000,2.009631,6.278963,-1.954089
4.500000,2.248498,6.528081,-1.899179
4.500000,2.732214,7.026504,-1.176162
4.500000,3.220907,7.525136,-0.543613
4.500000,3.712613,8.023938,-0.251086
4.500000,4.701276,9.021941,-0.115980
4.500000,5.197234,9.521099,-0.101338
4.500000,5.693900,10.020340,-0.093619
4.500000,6.688722,11.019030,-0.085624
5.000000,1.386960,6.058303,2.903839
5.000000,1.563114,6.257360,0.217948
5.000000,1.790366,6.506262,-1.401160
5.000000,2.022991,6.755246,-1.902760
5.000000,2.498331,7.253423,-1.501547
5.000000,2.981749,7.751835,-0.752214
5.000000,3.469869,8.250439,-0.303351
5.000000,4.454024,9.248099,-0.073337
5.000000,4.948484,9.747109,-0.051542
5.000000,5.443956,10.246210,-0.041218
5.000000,6.437002,11.244670,-0.031351
3.200000,0.947064,3.944988,19.979419
3.200000,1.407976,4.442900,-0.579290
3.200000,1.791862,4.841540,-4.407527
3.200000,2.181546,5.240386,-4.859166
3.200000,2.574396,5.639397,-4.324750
3.200000,3.167030,6.238149,-3.472638
3.200000,3.761999,6.837121,-3.107489
3.200000,4.358348,7.436258,-3.006325
3.200000,4.855993,7.935639,-2.979444
3.200000,5.354076,8.435093,-2.967289
3.200000,5.852486,8.934608,-2.960529
3.200000,6.351147,9.434175,-2.956232
3.200000,7.349013,10.433430,-2.951379
3.800000,2.578351,6.210492,-2.101175
3.800000,3.069408,6.709255,-1.369912
3.800000,3.562952,7.208189,-0.978254
3.800000,4.058078,7.707261,-0.836499
