# R1,R2,R3,E
1.511776,1.511781,1.734233,79.179232
1.511781,1.511782,1.840621,74.077964
1.511781,1.511788,1.943512,69.943196
1.511781,1.511788,2.042701,64.863523
1.511781,1.511781,2.137981,60.169965
1.511781,1.511788,2.229203,59.138810
1.511781,1.511788,2.316189,56.880060
1.511781,1.511782,2.398759,55.351084
1.511776,1.511781,2.476758,54.301066
1.511781,1.511784,2.550043,52.778465
1.511780,1.511781,2.618481,50.843992
1.511777,1.511781,2.681929,49.324860
1.511781,1.511787,2.740281,48.184947
1.511781,1.511793,2.793418,47.359381
1.511781,1.511787,2.841227,46.798900
1.511777,1.511781,2.883619,46.461571
1.511780,1.511781,2.920536,46.306240
1.511781,1.511784,2.951896,46.289936
1.511776,1.511781,2.977621,46.371417
1.511781,1.511782,2.997695,46.519288
1.511781,1.511788,3.012064,46.661176
1.511781,1.511788,3.020692,46.764165
1.511781,1.614578,1.700749,73.355084
1.511781,1.700761,1.733438,67.086281
1.511781,1.700749,1.849118,62.833042
1.511781,1.700749,1.961397,58.430240
1.511781,1.700758,2.070054,53.886505
1.511781,1.700762,2.174831,49.475594
1.511781,1.700754,2.275532,44.827871
1.511781,1.700762,2.371973,44.738801
1.511781,1.700758,2.463939,43.027870
1.511781,1.700749,2.551270,41.836311
1.511781,1.700749,2.633784,41.006192
1.511781,1.700761,2.711335,39.823132
1.511781,1.700749,2.783738,38.325942
1.511781,1.700760,2.850893,37.133342
1.511781,1.700755,2.912642,36.245679
1.511781,1.700764,2.968885,35.669890
1.511781,1.700755,3.019487,35.289413
1.511781,1.700760,3.064382,35.098481
1.511781,1.700749,3.103450,35.062793
1.511781,1.700761,3.136658,35.038422
1.511781,1.700749,3.163893,35.179225
1.511781,1.700749,3.185141,35.361745
1.511781,1.700758,3.200357,35.525444
1.511781,1.700762,3.209496,35.603587
1.477776,1.511781,1.889723,76.124100
1.511781,1.606015,1.889727,66.655415
1.511781,1.731971,1.889734,60.286484
1.511781,1.855220,1.889731,55.933247
1.511781,1.889721,1.975431,52.883970
1.511781,1.889734,2.092309,47.970425
1.511781,1.889731,2.205534,43.874598
1.511781,1.889718,2.314845,39.039672
1.511781,1.889726,2.420030,36.560242
1.511781,1.889718,2.520818,36.633831
1.511781,1.889731,2.617011,35.306412
1.511781,1.889734,2.708394,34.391256
1.511781,1.889721,2.794768,33.740577
1.511781,1.889731,2.875985,32.891291
1.511781,1.889734,2.951851,31.792314
1.511781,1.889727,3.022220,30.906906
1.511781,1.889723,3.086947,30.255707
1.511781,1.889735,3.145917,29.823063
1.511781,1.889723,3.198978,29.577622
1.511781,1.889727,3.246064,29.436299
1.511781,1.889734,3.287068,29.461797
1.511781,1.889731,3.321890,29.586035
1.511781,1.889721,3.350468,29.834164
1.511781,1.889734,3.372776,30.030604
1.511781,1.889731,3.388728,30.141356
1.511781,1.889718,3.398301,30.119414
1.470464,1.511781,2.078706,66.479487
1.511781,1.602032,2.078705,57.477227
1.511781,1.732490,2.078699,52.240490
1.511781,1.861168,2.078702,49.241471
1.511781,1.987534,2.078701,46.240891
1.511781,2.078694,2.111123,44.998509
1.511781,2.078701,2.231544,40.691238
1.511781,2.078700,2.348426,36.645019
1.511781,2.078691,2.461435,32.517579
1.511781,2.078699,2.570305,31.848601
1.511781,2.078691,2.674735,31.825401
1.511781,2.078700,2.774500,30.825121
1.511781,2.078701,2.869350,30.150159
1.511781,2.078694,2.959064,29.695313
1.511781,2.078701,3.043463,29.145586
1.511781,2.078702,3.122342,28.346342
1.511781,2.078699,3.195531,27.707415
1.511781,2.078705,3.262895,27.253306
1.511781,2.078706,3.324264,26.913201
1.511781,2.078705,3.379519,26.780333
1.511781,2.078699,3.428544,26.775000
1.511781,2.078702,3.471243,26.869360
1.511781,2.078701,3.507520,27.025427
1.511781,2.078694,3.537298,27.149492
1.511781,2.078701,3.560534,26.985142
1.511781,2.078700,3.577160,26.915976
1.511781,2.078691,3.587140,26.950104
1.345858,1.511781,2.267666,76.448550
1.474957,1.511781,2.267672,61.190149
1.511781,1.606110,2.267676,51.445148
1.511781,1.737974,2.267672,43.810852
1.511781,1.869520,2.267666,41.289403
1.511781,1.999897,2.267671,40.326112
1.511781,2.128418,2.267671,39.177787
1.511781,2.254501,2.267667,37.962941
1.511781,2.267668,2.377654,35.101777
1.511781,2.267673,2.497439,31.204817
1.511781,2.267665,2.613463,29.113843
1.511781,2.267671,2.725402,29.735988
1.511781,2.267665,2.832911,28.759645
1.511781,2.267673,2.935719,28.031085
1.511781,2.267668,3.033540,27.561711
1.511781,2.267667,3.126150,27.302394
1.511781,2.267671,3.213325,27.043814
1.511781,2.267671,3.294850,26.437844
1.511781,2.267666,3.370530,25.978444
1.511781,2.267672,3.440216,25.675763
1.511781,2.267676,3.503725,25.434094
1.511781,2.267672,3.560919,25.389343
1.511781,2.267666,3.611682,25.441813
1.511781,2.267671,3.655908,25.566702
1.511781,2.267671,3.693490,25.713056
1.511781,2.267667,3.724344,25.640551
1.511781,2.267668,3.748415,25.510936
1.511781,2.267673,3.765648,25.475204
1.511781,2.267665,3.775992,25.496148
1.495353,1.511781,2.456648,59.723011
1.511781,1.621889,2.456642,50.309008
1.511781,1.751665,2.456647,42.244280
1.511781,1.883106,2.456642,36.800393
1.511781,2.014989,2.456648,33.249132
1.511781,2.146311,2.456639,32.361035
1.511781,2.276281,2.456641,32.229858
1.511781,2.404185,2.456646,31.730477
1.511781,2.456635,2.529448,29.778442
1.511781,2.456643,2.651559,27.576325
1.511781,2.456638,2.770052,27.538512
1.511781,2.456644,2.884542,26.244223
1.511781,2.456638,2.994647,25.152314
1.511781,2.456643,3.100063,24.382124
1.511781,2.456635,3.200464,23.879578
1.511781,2.456646,3.295614,23.610026
1.511781,2.456641,3.385214,23.509812
1.511781,2.456639,3.469073,23.562456
1.511781,2.456648,3.546974,23.742330
1.511781,2.456642,3.618710,24.025411
1.511781,2.456647,3.684136,24.385680
1.511781,2.456642,3.743077,24.787188
1.511781,2.456648,3.795408,25.178940
1.511781,2.456639,3.840992,25.076340
1.511781,2.456641,3.879749,24.956655
1.511781,2.456646,3.911579,24.862685
1.511781,2.456635,3.936399,24.785150
1.511781,2.456643,3.954181,24.717155
1.511781,2.456638,3.964856,24.634026
1.511781,1.652946,2.645615,45.736479
1.511781,1.776799,2.645610,40.259028
1.511781,1.904861,2.645618,36.336440
1.511781,2.035429,2.645610,32.740861
1.511781,2.167164,2.645615,30.322097
1.511781,2.298959,2.645624,28.730895
1.511781,2.429846,2.645619,27.702515
1.511781,2.559079,2.645618,27.062807
1.511781,2.645625,2.685974,27.274467
