# R1,R2,R3,E
1.511776,1.511781,1.734233,48.520936
1.511781,1.511782,1.840621,46.513867
1.511781,1.511788,1.943512,44.255523
1.511781,1.511788,2.042701,40.258593
1.511781,1.511781,2.137981,36.130288
1.511781,1.511788,2.229203,35.331442
1.511781,1.511788,2.316189,33.092353
1.511781,1.511782,2.398759,31.452575
1.511776,1.511781,2.476758,30.216862
1.511781,1.511784,2.550043,28.471030
1.511780,1.511781,2.618481,26.297275
1.511777,1.511781,2.681929,24.538921
1.511781,1.511787,2.740281,23.170501
1.511781,1.511793,2.793418,22.131667
1.511781,1.511787,2.841227,21.376229
1.511777,1.511781,2.883619,20.865058
1.511780,1.511781,2.920536,20.559600
1.511781,1.511784,2.951896,20.416364
1.511776,1.511781,2.977621,20.393435
1.511781,1.511782,2.997695,20.461298
1.511781,1.511788,3.012064,20.546393
1.511781,1.511788,3.020692,20.615052
1.511781,1.614578,1.700749,48.690377
1.511781,1.700761,1.733438,47.930500
1.511781,1.700749,1.849118,46.990150
1.511781,1.700749,1.961397,44.512905
1.511781,1.700758,2.070054,41.014805
1.511781,1.700762,2.174831,37.091276
1.511781,1.700754,2.275532,32.581198
1.511781,1.700762,2.371973,32.418042
1.511781,1.700758,2.463939,30.509495
1.511781,1.700749,2.551270,29.054897
1.511781,1.700749,2.633784,27.933471
1.511781,1.700761,2.711335,26.453662
1.511781,1.700749,2.783738,24.666685
1.511781,1.700760,2.850893,23.201464
1.511781,1.700755,2.912642,22.061766
1.511781,1.700764,2.968885,21.258423
1.511781,1.700755,3.019487,20.675033
1.511781,1.700760,3.064382,20.307467
1.511781,1.700749,3.103450,20.120175
1.511781,1.700761,3.136658,19.970169
1.511781,1.700749,3.163893,20.008752
1.511781,1.700749,3.185141,20.113140
1.511781,1.700758,3.200357,20.221934
1.511781,1.700762,3.209496,20.267340
1.477776,1.511781,1.889723,46.480006
1.511781,1.606015,1.889727,46.881957
1.511781,1.731971,1.889734,46.473142
1.511781,1.855220,1.889731,45.619262
1.511781,1.889721,1.975431,44.536348
1.511781,1.889734,2.092309,40.634364
1.511781,1.889731,2.205534,36.956692
1.511781,1.889718,2.314845,32.178427
1.511781,1.889726,2.420030,29.544143
1.511781,1.889718,2.520818,29.346359
1.511781,1.889731,2.617011,27.691570
1.511781,1.889734,2.708394,26.429031
1.511781,1.889721,2.794768,25.432639
1.511781,1.889731,2.875985,24.252718
1.511781,1.889734,2.951851,22.845204
1.511781,1.889727,3.022220,21.677499
1.511781,1.889723,3.086947,20.772595
1.511781,1.889735,3.145917,20.115747
1.511781,1.889723,3.198978,19.674715
1.511781,1.889727,3.246064,19.366066
1.511781,1.889734,3.287068,19.250949
1.511781,1.889731,3.321890,19.259578
1.511781,1.889721,3.350468,19.415538
1.511781,1.889734,3.372776,19.542267
1.511781,1.889731,3.388728,19.603961
1.511781,1.889718,3.398301,19.552796
1.470464,1.511781,2.078706,38.330523
1.511781,1.602032,2.078705,39.673434
1.511781,1.732490,2.078699,40.656026
1.511781,1.861168,2.078702,41.263467
1.511781,1.987534,2.078701,40.243227
1.511781,2.078694,2.111123,39.974150
1.511781,2.078701,2.231544,36.022578
1.511781,2.078700,2.348426,31.962722
1.511781,2.078691,2.461435,27.611572
1.511781,2.078699,2.570305,26.609194
1.511781,2.078691,2.674735,26.203970
1.511781,2.078700,2.774500,24.809374
1.511781,2.078701,2.869350,23.748718
1.511781,2.078694,2.959064,22.929013
1.511781,2.078701,3.043463,22.042346
1.511781,2.078702,3.122342,20.937890
1.511781,2.078699,3.195531,20.027189
1.511781,2.078705,3.262895,19.334871
1.511781,2.078706,3.324264,18.789085
1.511781,2.078705,3.379519,18.481204
1.511781,2.078699,3.428544,18.329173
1.511781,2.078702,3.471243,18.302718
1.511781,2.078701,3.507520,18.361296
1.511781,2.078694,3.537298,18.408911
1.511781,2.078701,3.560534,18.187267
1.511781,2.078700,3.577160,18.078301
1.511781,2.078691,3.587140,18.088974
1.345858,1.511781,2.267666,33.392124
1.474957,1.511781,2.267672,34.049315
1.511781,1.606110,2.267676,34.454066
1.511781,1.737974,2.267672,32.989903
1.511781,1.869520,2.267666,34.049064
1.511781,1.999897,2.267671,35.028443
1.511781,2.128418,2.267671,34.801143
1.511781,2.254501,2.267667,33.881060
1.511781,2.267668,2.377654,30.944061
1.511781,2.267673,2.497439,26.765033
1.511781,2.267665,2.613463,24.288510
1.511781,2.267671,2.725402,24.483206
1.511781,2.267665,2.832911,23.073399
1.511781,2.267673,2.935719,21.925881
1.511781,2.267668,3.033540,21.064152
1.511781,2.267667,3.126150,20.446039
1.511781,2.267671,3.213325,19.866022
1.511781,2.267671,3.294850,18.977394
1.511781,2.267666,3.370530,18.273608
1.511781,2.267672,3.440216,17.762812
1.511781,2.267676,3.503725,17.346476
1.511781,2.267672,3.560919,17.157073
1.511781,2.267666,3.611682,17.091330
1.511781,2.267671,3.655908,17.121020
1.511781,2.267671,3.693490,17.192117
1.511781,2.267667,3.724344,17.061641
1.511781,2.267668,3.748415,16.889149
1.511781,2.267673,3.765648,16.823963
1.511781,2.267665,3.775992,16.827718
1.495353,1.511781,2.456648,34.248508
1.511781,1.621889,2.456642,33.984045
1.511781,1.751665,2.456647,31.644984
1.511781,1.883106,2.456642,29.573726
1.511781,2.014989,2.456648,27.851190
1.511781,2.146311,2.456639,27.805555
1.511781,2.276281,2.456641,27.904782
1.511781,2.404185,2.456646,27.273204
1.511781,2.456635,2.529448,24.989605
1.511781,2.456643,2.651559,22.358749
1.511781,2.456638,2.770052,21.856190
1.511781,2.456644,2.884542,20.096266
1.511781,2.456638,2.994647,18.558438
1.511781,2.456643,3.100063,17.374189
1.511781,2.456635,3.200464,16.497008
1.511781,2.456646,3.295614,15.895951
1.511781,2.456641,3.385214,15.508680
1.511781,2.456639,3.469073,15.317280
1.511781,2.456648,3.546974,15.293137
1.511781,2.456642,3.618710,15.408260
1.511781,2.456647,3.684136,15.631921
1.511781,2.456642,3.743077,15.923677
1.511781,2.456648,3.795408,16.228161
1.511781,2.456639,3.840992,16.057087
1.511781,2.456641,3.879749,15.884407
1.511781,2.456646,3.911579,15.750356
1.511781,2.456635,3.936399,15.643677
1.511781,2.456643,3.954181,15.555842
1.511781,2.456638,3.964856,15.461249
1.511781,1.652946,2.645615,30.443689
1.511781,1.776799,2.645610,29.843287
1.511781,1.904861,2.645618,28.882900
1.511781,2.035429,2.645610,26.909910
1.511781,2.167164,2.645615,25.219507
1.511781,2.298959,2.645624,23.786002
1.511781,2.429846,2.645619,22.572772
1.511781,2.559079,2.645618,21.559771
1.511781,2.645625,2.685974,21.307952
1.511781,2.645616,2.809930,19.425099
1.511781,2.645612,2.930454,17.579767
1.511781,2.645617,3.047092,16.091855
1.511781,2.645612,3.159419,14.970061
1.511781,2.645616,3.267082,14.059165
1.511781,2.645625,3.369744,13.392356
1.511781,2.645618,3.467084,12.938326
1.511781,2.645619,3.558849,12.667703
1.511781,2.645624,3.644777,12.554054
1.511781,2.645615,3.724637,12.572668
1.511781,2.645610,3.798223,12.662694
1.511781,2.645618,3.865366,12.887261
1.511781,2.645610,3.925870,13.172273
1.511781,2.645615,3.979610,13.425275
1.511781,2.645624,4.026454,13.641618
1.511781,2.645619,4.066263,13.728604
1.511781,2.645618,4.098970,13.751585
1.511781,2.645625,4.124495,13.744463
1.511781,2.645616,4.142755,13.711746
1.511781,2.645612,4.153730,13.652021
1.511781,1.816526,2.834587,27.002228
1.511781,1.937769,2.834592,25.856402
1.511781,2.063996,2.834589,24.646055
1.511781,2.193480,2.834592,23.399297
1.511781,2.324763,2.834587,22.149768
1.511781,2.456648,2.834592,20.896873
1.511781,2.588104,2.834588,19.620640
1.511781,2.718287,2.834591,18.310184
1.511781,2.834592,2.846430,16.851672
1.511781,2.834585,2.971886,15.363300
1.511781,2.834585,3.094091,14.022254
1.511781,2.834589,3.212534,12.900333
1.511781,2.834585,3.326756,12.006963
1.511781,2.834585,3.436365,11.328204
1.511781,2.834592,3.540992,10.842359
1.511781,2.834591,3.640287,10.526177
1.511781,2.834588,3.733961,10.357139
1.511781,2.834592,3.821737,10.312609
1.511781,2.834587,3.903359,10.371166
1.511781,2.834592,3.978622,10.512072
1.511781,2.834589,4.047304,10.713785
1.511781,2.834592,4.109238,10.950330
1.511781,2.834587,4.164248,11.185379
1.511781,2.834592,4.212211,11.371398
1.511781,2.834588,4.252990,11.482118
1.511781,2.834591,4.286500,11.582709
1.511781,2.834592,4.312647,11.564491
1.511781,2.834585,4.331362,11.477629
1.511781,2.834585,4.342612,11.310079
1.511781,2.156200,3.212537,20.483319
1.511781,2.272678,3.212542,18.731356
1.511781,2.395309,3.212530,17.129220
1.511781,2.522363,3.212542,15.713623
1.511781,2.652274,3.212537,14.431896
1.511781,2.783734,3.212529,13.302252
1.511781,2.915614,3.212528,12.288713
1.511781,3.046925,3.212536,11.336341
1.511781,3.176765,3.212526,10.385538
1.511781,3.212528,3.304411,9.600069
1.511781,3.212532,3.429184,8.937102
1.511781,3.212534,3.550473,8.367456
1.511781,3.212532,3.667749,7.922447
1.511781,3.212528,3.780543,7.603661
1.511781,3.212526,3.888416,7.399736
1.511781,3.212536,3.990988,7.295241
1.511781,3.212528,4.087888,7.274494
1.511781,3.212529,4.178812,7.322417
