Variables = "r1", "r2", "r3", "E"
   2.341000E+00,   9.290000E+00,   9.605300E+00,   1.129843E-04
   9.345000E+00,   1.286700E+01,   3.568100E+00,  -1.675218E-04
   6.097900E+00,   5.360600E+00,   3.050800E+00,   1.684210E-01
   1.855100E+00,   5.807300E+00,   3.952200E+00,   1.396808E+00
   1.500300E+00,   9.186000E+00,   8.428000E+00,  -1.314305E-04
   7.764900E+00,   7.152900E+00,   3.653600E+00,   6.042294E-03
   2.478400E+00,   6.424500E+00,   6.441100E+00,   6.057221E-02
   6.047100E+00,   1.154400E+01,   8.137400E+00,   2.837639E-08
   2.790300E+00,   8.523000E+00,   6.618500E+00,   3.181320E-03
   6.827500E+00,   1.674100E+01,   9.941700E+00,  -4.419660E-13
   1.647300E+00,   6.486600E+00,   4.904400E+00,   2.466190E-01
   4.637100E+00,   6.482200E+00,   3.982500E+00,   1.182873E-01
   5.681600E+00,   9.605900E+00,   4.069100E+00,   1.997919E-03
   3.674400E+00,   9.245700E+00,   6.295900E+00,   9.530133E-04
   8.703400E+00,   9.149400E+00,   2.424300E+00,   1.943180E-04
   1.604900E+00,   4.716900E+00,   3.691000E+00,   2.387935E+00
   4.209000E+00,   8.261900E+00,   4.300300E+00,   1.101494E-01
   7.104100E+00,   1.047100E+01,   4.163500E+00,  -8.438871E-05
   4.484600E+00,   5.153000E+00,   3.608400E+00,   3.603386E-01
   9.662100E+00,   1.029700E+01,   2.593700E+00,   1.156184E-04
   3.179400E+00,   5.014200E+00,   1.836800E+00,   6.559616E+00
   8.705500E+00,   1.259800E+01,   6.745100E+00,   1.478454E-10
   9.081300E+00,   1.494700E+01,   7.747200E+00,   2.922285E-15
   8.717400E+00,   1.119600E+01,   2.479800E+00,  -2.244779E-04
   8.389600E+00,   1.038400E+01,   7.122900E+00,   1.011043E-07
   9.393300E+00,   1.133600E+01,   2.115000E+00,  -5.743420E-05
   6.480900E+00,   1.497800E+01,   8.649900E+00,  -2.593561E-11
   9.151800E+00,   1.120700E+01,   2.876600E+00,  -9.379263E-05
   9.418200E+00,   1.731700E+01,   7.937200E+00,  -6.527929E-19
   8.572000E+00,   1.124800E+01,   3.654800E+00,  -1.004970E-04
   6.247000E+00,   6.338800E+00,   4.391900E+00,   4.662882E-02
   5.597900E+00,   1.413900E+01,   8.909300E+00,  -3.393883E-08
   4.541800E+00,   1.040900E+01,   7.914300E+00,   5.775245E-06
   2.880400E+00,   4.248800E+00,   2.048500E+00,   7.759772E+00
   9.214600E+00,   1.151400E+01,   8.410400E+00,   9.919446E-11
   4.453600E+00,   1.049600E+01,   6.487100E+00,  -6.216274E-06
   2.646000E+00,   6.750000E+00,   4.165300E+00,   1.008164E+00
   7.364900E+00,   8.174700E+00,   2.519000E+00,   2.175656E-03
   1.738900E+00,   7.816600E+00,   7.508200E+00,  -2.306766E-03
   2.900600E+00,   5.927400E+00,   4.088600E+00,   8.148948E-01
   4.738000E+00,   6.701200E+00,   4.470600E+00,   6.723176E-02
   8.039800E+00,   1.101400E+01,   3.456300E+00,  -3.023459E-04
   4.750400E+00,   1.215000E+01,   7.428300E+00,  -1.252894E-05
   5.496200E+00,   1.273800E+01,   7.491200E+00,  -1.418935E-07
   1.504500E+00,   7.978000E+00,   6.536500E+00,   2.738829E-03
   1.616100E+00,   1.107900E+01,   9.517300E+00,  -1.177259E-05
   9.767700E+00,   1.214600E+01,   2.841400E+00,  -1.187493E-04
   8.085900E+00,   8.427000E+00,   7.784800E+00,   4.549141E-06
   3.136700E+00,   4.710400E+00,   2.383900E+00,   4.704019E+00
   6.240800E+00,   1.117100E+01,   8.351800E+00,   4.463455E-08
   7.947400E+00,   1.202100E+01,   6.615300E+00,   4.475778E-09
   6.223200E+00,   1.299200E+01,   6.921700E+00,   7.551288E-09
   8.498200E+00,   7.698200E+00,   2.374700E+00,   6.491602E-04
   2.133800E+00,   1.014100E+01,   8.691400E+00,  -2.935009E-05
   4.843100E+00,   5.473400E+00,   4.639800E+00,   1.617389E-01
   8.164000E+00,   1.077100E+01,   6.245700E+00,   1.843675E-07
   8.109200E+00,   1.579500E+01,   8.007400E+00,   1.515718E-15
   9.179500E+00,   9.002400E+00,   5.402500E+00,   5.382714E-06
   6.878000E+00,   9.605800E+00,   2.760100E+00,  -5.754035E-04
   6.429000E+00,   5.885700E+00,   3.825100E+00,   7.703408E-02
   7.305600E+00,   8.269700E+00,   2.817200E+00,   2.560931E-03
   9.029700E+00,   1.595600E+01,   8.315900E+00,   2.212006E-17
   7.954000E+00,   1.410400E+01,   6.190100E+00,  -5.159960E-10
   6.720500E+00,   9.360900E+00,   4.346200E+00,   3.181951E-04
   5.576900E+00,   7.669800E+00,   2.130200E+00,   4.472254E-02
   7.707000E+00,   9.621400E+00,   1.935800E+00,  -1.089548E-04
   5.173400E+00,   7.069800E+00,   5.350400E+00,   2.284546E-02
   8.884900E+00,   1.359900E+01,   8.020200E+00,   4.128113E-13
   1.636600E+00,   4.600700E+00,   3.600300E+00,   2.799253E+00
   4.138100E+00,   5.769000E+00,   3.052300E+00,   6.073213E-01
   9.326000E+00,   1.527900E+01,   6.090000E+00,  -6.343729E-10
   8.407700E+00,   9.922300E+00,   9.012800E+00,   1.030557E-08
   6.197100E+00,   7.612800E+00,   7.883100E+00,   2.523364E-04
   8.001000E+00,   1.688500E+01,   9.244500E+00,   7.816882E-19
   6.324600E+00,   9.364400E+00,   3.106300E+00,   2.114911E-04
   8.650100E+00,   1.063200E+01,   2.403200E+00,  -1.240158E-04
   2.397700E+00,   8.991100E+00,   6.837900E+00,   5.266266E-04
   5.075600E+00,   1.424000E+01,   9.652100E+00,  -6.044340E-07
   6.635400E+00,   9.141900E+00,   7.402000E+00,   1.861148E-05
   7.768100E+00,   1.563700E+01,   9.024100E+00,   2.703040E-16
   3.556400E+00,   3.438500E+00,   2.262400E+00,   5.961143E+00
   7.503000E+00,   1.247300E+01,   8.613600E+00,   8.257272E-11
   7.672000E+00,   8.270000E+00,   1.746000E+00,  -9.455826E-04
   7.412100E+00,   8.403200E+00,   7.602100E+00,   1.957956E-05
   6.568800E+00,   9.667400E+00,   3.869700E+00,   7.191422E-05
   5.591800E+00,   1.513800E+01,   9.568800E+00,  -2.767284E-08
   3.527600E+00,   8.598000E+00,   6.773800E+00,   2.292936E-03
   5.878500E+00,   1.144100E+01,   5.580400E+00,   1.100613E-05
   3.130400E+00,   1.003400E+01,   6.923300E+00,  -8.782162E-04
   4.457400E+00,   1.346900E+01,   9.110900E+00,  -1.731002E-05
   4.160600E+00,   7.746400E+00,   4.384200E+00,   1.114887E-01
   6.126200E+00,   7.793100E+00,   1.683400E+00,   1.305524E-02
   5.298500E+00,   6.457400E+00,   1.556200E+00,   1.168137E-01
   7.807500E+00,   1.235500E+01,   5.262500E+00,  -4.918586E-07
   6.471700E+00,   9.947900E+00,   7.463200E+00,   3.383388E-06
   5.523200E+00,   7.994800E+00,   3.384900E+00,   3.100506E-02
   7.863100E+00,   1.400800E+01,   9.187100E+00,   6.470680E-14
   5.914600E+00,   6.268700E+00,   1.660000E+00,  -8.337520E-03
   8.169800E+00,   9.855200E+00,   3.111200E+00,   5.960733E-05
   8.219100E+00,   1.477700E+01,   7.498000E+00,   9.003419E-14
   8.055200E+00,   1.409600E+01,   7.968400E+00,   4.106774E-13
   8.361100E+00,   1.101200E+01,   3.204500E+00,  -2.698766E-04
   8.887300E+00,   1.602600E+01,   9.437200E+00,   1.437159E-18
   8.874600E+00,   1.120800E+01,   4.911600E+00,   9.346009E-07
   4.263200E+00,   5.231200E+00,   2.815300E+00,   6.124744E-01
   9.518400E+00,   1.676900E+01,   7.443800E+00,  -4.698567E-16
   9.805000E+00,   1.496500E+01,   6.592000E+00,  -3.512929E-12
   5.850700E+00,   8.807100E+00,   3.268100E+00,   7.166683E-03
   4.012800E+00,   8.068500E+00,   4.451200E+00,   1.185601E-01
   3.448500E+00,   9.435500E+00,   9.076200E+00,   3.134384E-04
   1.677500E+00,   7.385000E+00,   6.961400E+00,  -7.634616E-03
   9.224500E+00,   1.802000E+01,   9.868600E+00,   4.507185E-23
   2.841200E+00,   9.247200E+00,   6.558000E+00,   1.981935E-04
   9.495000E+00,   1.416500E+01,   7.787700E+00,   2.109819E-14
   6.395600E+00,   1.517600E+01,   9.390100E+00,  -3.703402E-11
   9.967400E+00,   1.507600E+01,   9.970200E+00,   2.437335E-18
   9.371700E+00,   9.762900E+00,   5.787500E+00,   4.404654E-07
   7.392400E+00,   7.433700E+00,   5.184300E+00,   2.026144E-03
   7.977100E+00,   8.468500E+00,   8.168100E+00,   2.613595E-06
   3.533600E+00,   1.101900E+01,   8.722100E+00,  -5.521764E-05
   1.525000E+00,   1.056500E+01,   9.942800E+00,   1.819607E-06
   6.508700E+00,   1.022600E+01,   3.916900E+00,  -2.511461E-04
   5.661800E+00,   8.001400E+00,   2.497900E+00,   3.269555E-02
   3.883300E+00,   1.076500E+01,   8.039000E+00,  -7.310374E-05
   4.173700E+00,   9.457200E+00,   7.642300E+00,   1.367954E-04
   6.648100E+00,   1.199500E+01,   5.608600E+00,   3.594998E-07
   3.859200E+00,   6.170700E+00,   2.321400E+00,   1.910118E+00
   7.107500E+00,   7.835700E+00,   4.857700E+00,   2.177712E-03
   5.257600E+00,   4.847100E+00,   1.724400E+00,   2.498778E-01
   2.296200E+00,   6.587500E+00,   4.905100E+00,   2.499265E-01
   8.779700E+00,   9.626300E+00,   6.255300E+00,   1.047325E-06
   1.871700E+00,   5.290100E+00,   5.200900E+00,   1.524962E-01
   2.566200E+00,   6.704200E+00,   4.898400E+00,   2.528209E-01
   1.762100E+00,   7.875500E+00,   6.835100E+00,  -1.324187E-03
   5.868700E+00,   7.184400E+00,   5.953900E+00,   7.550395E-03
   2.518400E+00,   1.057100E+01,   8.057000E+00,  -3.503535E-04
   3.214400E+00,   7.026800E+00,   7.154100E+00,   1.824134E-02
   4.139500E+00,   7.111600E+00,   4.703400E+00,   7.822798E-02
   8.285600E+00,   1.796000E+01,   9.927900E+00,  -3.901540E-21
   4.369600E+00,   1.060000E+01,   9.231200E+00,   2.150139E-05
   1.620100E+00,   7.576400E+00,   6.620500E+00,  -5.055737E-03
   3.096700E+00,   4.395700E+00,   4.463000E+00,   9.094225E-01
   5.413600E+00,   7.719100E+00,   5.898500E+00,   5.335522E-03
   5.326300E+00,   7.138400E+00,   4.444200E+00,   3.392937E-02
   4.778700E+00,   1.414600E+01,   9.367800E+00,  -3.859869E-06
