R1,R2,R3,ETriat,E,ENew
1.511781,1.511788,1.943512,51.389354,77.077026,77.077026
1.943512,1.511788,1.511781,51.389354,77.077026,77.077026
1.511781,1.511788,2.042701,47.859238,72.464169,72.464169
2.042701,1.511788,1.511781,47.859238,72.464169,72.464169
1.511781,1.511781,2.137981,44.544964,68.584641,68.584641
2.137981,1.511781,1.511781,44.544964,68.584641,68.584641
1.511781,1.511788,2.229203,41.643566,65.450934,65.450934
2.229203,1.511788,1.511781,41.643566,65.450934,65.450934
1.511781,1.511788,2.316189,39.189477,62.977184,62.977184
2.316189,1.511788,1.511781,39.189477,62.977184,62.977184
1.511781,1.511782,2.398759,37.161764,61.060274,61.060274
2.398759,1.511782,1.511781,37.161764,61.060274,61.060274
1.511776,1.511781,2.476758,35.522288,59.606492,59.606492
2.476758,1.511781,1.511776,35.522288,59.606492,59.606492
1.511781,1.511784,2.550043,34.229265,58.536699,58.536699
2.550043,1.511784,1.511781,34.229265,58.536699,58.536699
1.511780,1.511781,2.618481,33.225170,57.771886,57.771886
2.618481,1.511781,1.511780,33.225170,57.771886,57.771886
1.511777,1.511781,2.681929,32.497493,57.283433,57.283433
2.681929,1.511781,1.511777,32.497493,57.283433,57.283433
1.511781,1.511787,2.740281,32.000129,57.014575,57.014575
2.740281,1.511787,1.511781,32.000129,57.014575,57.014575
1.511781,1.511793,2.793418,31.687383,56.915098,56.915098
2.793418,1.511793,1.511781,31.687383,56.915098,56.915098
1.511781,1.511787,2.841227,31.564151,56.986822,56.986822
2.841227,1.511787,1.511781,31.564151,56.986822,56.986822
1.511777,1.511781,2.883619,31.588830,57.185343,57.185343
2.883619,1.511781,1.511777,31.588830,57.185343,57.185343
1.511780,1.511781,2.920536,31.733969,57.480609,57.480609
2.920536,1.511781,1.511780,31.733969,57.480609,57.480609
1.511781,1.511784,2.951896,31.968131,57.841702,57.841702
2.951896,1.511784,1.511781,31.968131,57.841702,57.841702
1.511776,1.511781,2.977621,32.255646,58.233627,58.233627
2.977621,1.511781,1.511776,32.255646,58.233627,58.233627
1.511781,1.511782,2.997695,32.557978,58.615968,58.615968
2.997695,1.511782,1.511781,32.557978,58.615968,58.615968
1.511781,1.511788,3.012064,32.828672,58.943454,58.943454
3.012064,1.511788,1.511781,32.828672,58.943454,58.943454
1.511781,1.511788,3.020692,33.020745,59.169858,59.169858
3.020692,1.511788,1.511781,33.020745,59.169858,59.169858
1.511781,1.700761,1.733438,56.486934,75.642715,75.642715
1.733438,1.700761,1.511781,56.486934,75.642715,75.642715
1.511781,1.700749,1.849118,54.660005,70.502896,70.502896
1.849118,1.700749,1.511781,54.660005,70.502896,70.502896
1.511781,1.700749,1.961397,51.503677,65.421012,65.421012
