G1,G2,G3
1.634028e-01,6.261805e-03,1.874050e-04
1.629753e-01,6.060590e-03,1.751404e-04
1.625850e-01,5.876921e-03,1.639453e-04
1.622306e-01,5.710138e-03,1.537795e-04
1.619104e-01,5.559441e-03,1.445941e-04
1.616225e-01,5.423949e-03,1.363355e-04
1.613649e-01,5.302749e-03,1.289481e-04
1.611358e-01,5.194933e-03,1.223764e-04
1.609333e-01,5.099615e-03,1.165666e-04
1.607555e-01,5.015968e-03,1.114681e-04
1.606010e-01,4.943222e-03,1.070340e-04
1.604681e-01,4.880682e-03,1.032220e-04
1.603555e-01,4.827729e-03,9.999439e-05
1.602622e-01,4.783827e-03,9.731845e-05
1.601872e-01,4.748523e-03,9.516660e-05
1.601297e-01,4.721447e-03,9.351624e-05
1.600890e-01,4.702311e-03,9.234985e-05
1.600648e-01,4.690911e-03,9.165500e-05
1.677973e-01,8.315588e-03,2.941910e-04
1.672761e-01,8.071851e-03,2.813229e-04
1.667207e-01,7.812129e-03,2.676109e-04
1.661446e-01,7.542716e-03,2.533873e-04
1.655601e-01,7.269368e-03,2.389559e-04
1.649779e-01,6.997128e-03,2.245830e-04
1.644072e-01,6.730236e-03,2.104925e-04
1.638552e-01,6.472108e-03,1.968647e-04
1.633276e-01,6.225364e-03,1.838378e-04
1.628283e-01,5.991889e-03,1.715115e-04
1.623601e-01,5.772924e-03,1.599513e-04
1.619244e-01,5.569170e-03,1.491942e-04
1.615218e-01,5.380879e-03,1.392534e-04
1.611520e-01,5.207958e-03,1.301240e-04
1.608143e-01,5.050049e-03,1.217872e-04
1.605076e-01,4.906608e-03,1.142143e-04
1.602304e-01,4.776965e-03,1.073698e-04
1.599811e-01,4.660378e-03,1.012146e-04
1.597580e-01,4.556071e-03,9.570773e-05
1.595596e-01,4.463269e-03,9.080824e-05
1.593841e-01,4.381219e-03,8.647644e-05
1.592301e-01,4.309211e-03,8.267478e-05
1.590962e-01,4.246585e-03,7.936846e-05
1.589811e-01,4.192743e-03,7.652589e-05
1.588836e-01,4.147156e-03,7.411912e-05
1.588028e-01,4.109362e-03,7.212380e-05
1.587378e-01,4.078969e-03,7.051920e-05
1.586880e-01,4.055661e-03,6.928861e-05
1.586527e-01,4.039188e-03,6.841893e-05
1.586318e-01,4.029374e-03,6.790082e-05
1.652978e-01,7.136084e-03,2.181685e-04
1.648516e-01,6.928570e-03,2.086871e-04
1.643757e-01,6.707232e-03,1.985741e-04
1.638815e-01,6.477404e-03,1.880733e-04
1.633797e-01,6.243984e-03,1.774082e-04
1.628793e-01,6.011278e-03,1.667758e-04
1.623883e-01,5.782923e-03,1.563423e-04
1.619130e-01,5.561868e-03,1.462422e-04
